APN,Registered Date,Property Type,Property Address,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,compiled_address,compiled_lat,compiled_lng
2624002018,01/02/2015,Single Family,9954 N EL DORADO AVE ,91331,7,Logix Federal Credit Union FKA Lockheed Federal Credit Union,Janet Parrent,818-565-2430,NULL,NULL,"",NULL,"91331, CA",34.25545120239258,-118.4202880859375
5005026008,01/02/2015,Multi-Family,5233 S MANHATTAN PL ,90062,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90062, CA",34.00339889526367,-118.308837890625
2747002052,01/02/2015,Single Family,10065 DE ,91311,12,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91311, CA",34.28568649291992,-118.60453033447266
5190011021,01/02/2015,Multi-Family,1149 S GRANDE VISTA AVE ,90023,14,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202,"90023, CA",34.02170181274414,-118.20044708251953
2031004049,01/02/2015,Single Family,24647 W GARDENSTONE LANE ,91307,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91307, CA",34.19843292236328,-118.69631958007812
5223021025,01/02/2015,Single Family,5054 E O'SULLIVAN DR ,90032,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90032, CA",34.080570220947266,-118.17868041992188
5221012042,01/02/2015,Single Family,5501 BOHLIG RD ,90032,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90032, CA",34.080570220947266,-118.17868041992188
5044009016,01/02/2015,Multi-Family,3445 S 10TH AVE ,90018,10,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90018, CA",34.02804183959961,-118.31771087646484
2747024108,01/02/2015,Single Family,10155 N DE SOTO AVE ,91311,12,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91311, CA",34.28568649291992,-118.60453033447266
2157008011,01/02/2015,Single Family,5644 ETIWANDA AVE ,91356,3,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91356, CA",34.153865814208984,-118.54678344726562
5486006013,01/02/2015,Single Family,6041 E DELPHI ST ,90042,14,Bank of America,Chad McLean,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90042, CA",34.11512756347656,-118.19194793701172
2695013034,01/02/2015,Single Family,10424 N LOUISE AVE ,91344,12,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91344, CA",34.29195785522461,-118.50615692138672
5571016002,01/02/2015,Single Family,2625 N NICHOLS CANYON ROAD ,90046,4,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"90046, CA",34.10723876953125,-118.36476135253906
5517012032,01/02/2015,Single Family,115 S HOBART BLVD ,90004,10,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90004, CA",34.07624053955078,-118.31137084960938
5518015014,01/02/2015,Multi-Family,125 S KENMORE AVE ,90004,13,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90004, CA",34.07624053955078,-118.31137084960938
2315005024,01/02/2015,Single Family,7756 N FAIR AVE ,91352,6,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91352, CA",34.2303352355957,-118.35372924804688
6054024009,01/02/2015,Single Family,548 W 98TH ST ,90044,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90044, CA",33.95302963256836,-118.29151153564453
2184037012,01/02/2015,Single Family,4190 N ALONZO AVE ,91316,5,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91316, CA",34.165252685546875,-118.51605224609375
6014025010,01/02/2015,Single Family,1322 W 69TH ST ,90044,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90044, CA",33.95302963256836,-118.29151153564453
2787008011,01/02/2015,Single Family,17837 W ROSCOE BLVD ,91325,12,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91325, CA",34.2368049621582,-118.51820373535156
4301022034,01/02/2015,Single Family,2619 S HOLT AVE ,90034,10,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453,"90034, CA",34.030677795410156,-118.3995590209961
5001035047,01/02/2015,Multi-Family,5400 S FIGUEROA ST ,90037,9,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90037, CA",34.00276184082031,-118.28748321533203
6055007022,01/02/2015,Single Family,1454 W 93RD ST ,90047,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90047, CA",33.953941345214844,-118.30876922607422
5518002003,01/02/2015,Multi-Family,115 1 2 S NORMANDIE AVE ,90004,10,BANK OF NEW YORK MELLON AS TRUSTEE C/O SELECT PORTFOLIO SERVICING,CODE VIOLATION,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90004, CA",34.07624053955078,-118.31137084960938
2645010018,01/02/2015,Single Family,9972 N ARLETA AVE ,91331,6,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91331, CA",34.25545120239258,-118.4202880859375
