Assessor's Parcel Number,Street Address,Council District,Zoning,Acres,Date Referred,Environmental Issues,Owner,Owner Address,Building and Safety Information,Fire Department Information,Enginnering Notes,"Online Database Research (EnviroStor, EnviroMapper)",Last Update,Status (Black is 2011 status) (Red is most recent update),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compiled_address,compiled_lat,compiled_lng
2420001901,4958 N CAHUENGA BLVD 91601,4,RD1.5,0.089,10/30/13,"","CITY OF LOS ANGELES ATTN: GEN. SRVCS., ASSET MGMNT. DIV.","","",None Observed,9/23/15,Small vacant property within rediential area. Chain link fence on perimeter. Elementary school is on same block,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4958 Cahuenga Blvd, Los Angeles, CA 91601",34.161159,-118.36116
2241026901,14600 W AETNA ST 91411,6,CM,2.85,7/17/13,"","CITY OF LOS ANGELES, DEPT. OF WATER & POWER ATTN: REALESTATE DIVISION","","Engineering notes say ""proposed fire station""",No info,3/25/14,Large vacant site. Fence along perimeter. Some dumping on site. Dumping has been removed,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91411, CA",34.17782211303711,-118.4591064453125
2205002901,16693-16741 W ROSCOE BLVD 91343,6,M2,59.17,7/17/13,None Observed,CITY OF LOS ANGELES DEPT OF AIRPORTS - PPTY BUREAU,"P.O. BOX 92216LOS ANGELES CA 90009",GIS PROJECT ,None Observed,3/25/14,"""Balboa Rentals"" Vacant property adj to water canal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91343, CA",34.238609313964844,-118.48091888427734
2513006900,13570-13574 W FOOTHILL BLVD 91340,7,RA,1.23,6/18/13,None Observed,COMMUNITY REDEVELOPMENT AGENCY,"1200 W 7TH ST 2ND FL 2NDLOS ANGELES CA 90017",GIS PROJECT ,None Observed,3/25/14,Large vacant property with dead grass between large apt complex,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91340, CA",34.28673553466797,-118.43489837646484
5040030905,3671-3689 S Vermont Ave 90037,8,"","",7/21/11,"",COMMUNITY REDEVELOPMENT AGENCY,"354 # 800 S SPRING ST LOS ANGELES CA 90013  ","","",6/9/15,Vacant fenced lot. Site is grassy with bits of gravel,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S Vermont Ave, Los Angeles, CA 90037",34.00053024291992,-118.29154205322266
6032013905,8500-8534 S Vermont Ave 90044,8,"","",7/21/11,"",COMMUNITY DEV COMMISSION OF LOS ANGELES CITY,"2525 CORPORATE PL 2ND FLMONTEREY PARK CA 91754","","",6/9/15,"Large vacant grassy lot. Chain fenced around. Dumping on propertyperimeter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8500 S Vermont Ave, Los Angeles, CA 90044",33.961055,-118.29116
6038010904,8750 S Vermont Ave 90044,8,"",0.069,7/21/11,"",LOS ANGELES CITY DEPARTMENT OF RECREATION AND PARKS,"1200 W 7TH ST STE 700LOS ANGELES CA 90017","","",6/9/15,Vancant grassy fenced lot. Property is fenced off but appears to be developing into green space. Planters and trees have been added. ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8750 S Vermont Ave, Los Angeles, CA 90044",33.958045959472656,-118.29120635986328
5127008900,2301 S San Pedro St 90011,9,C2,0.1196,2011,Ongoing Site Assessment,LA CITY,0ÊÊÊP O BOX 51111ÊLOS ANGELES CA 90051,"","",5/21/15,Few trees for transplanting. City maintenance vehicles parked along street,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2301 S San Pedro St, Los Angeles, CA 90011",34.023860931396484,-118.26007843017578
5058016022,2071-2091 W 22ND ST 90018,10,R3,0.22,5/23/13,"",LYNNE S. BASSEY INTER VIVOS TR 9-15-98  ,249 BARLOCK AVE LOS ANGELES CA 90049,"",None Observed,7/9/15,Long strip of property adjacent to the frwy entrance. Chainlink fence and barbwire perimeter the property. Gravel and dead grass on the surface,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","W 22nd St, Los Angeles, CA 90018",34.03636169433594,-118.3024673461914
5072030900,1803 S ARLINGTON AVE 90019,10,RD1.5,0.53,5/23/13,"",Los Angeles Public Library,"","",LA WASHINGTON IRVING LIBRARY - RCRA Hazardous Materials Generator,7/9/15,"""Washington Pubic Library"" appears to be abandoned","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1803 Arlington Ave, Los Angeles, CA 90019",34.040699,-118.318016
