Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN,compiled_address,compiled_lat,compiled_lng
5,POL,768,*,SD,"","","","","ROOM 200 TERMINAL BLDG, AIRPORT MANAGER",ONTARIO,91761,"","",8201,4999-856,"",Ontario,42.85289001464844,-77.29978942871094
53,"",3,*,"","","","","",ONTARIO AIRPORT,LOS ANGELES,"","","","","","","Ontario International Airport, CA",34.062320709228516,-117.5947265625
26,STM,58,*,SD,4160,"",10TH,AV,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,0,673F3,0,"","","90008, CA",34.00904083251953,-118.34813690185547
8,STM,23,*,SD,5323,W,111 TH,ST,WESTCHESTER,WESTCHESTER,90045,11,703A6,0,"",4129036903,"Westchester, NY",40.84743118286133,-73.85575866699219
25,STM,861,*,"",5323,W,111TH,ST,ST MTCE YARD,WESTCHESTER,90045,0,"",0,"","",Westchester,41.15142059326172,-73.75338745117188
50,R&P,474,*,SD,1607,E,113TH,ST,113TH STREET PARK,WATTS,90059,15,704F5,0,"","","90059, CA",33.925472259521484,-118.24986267089844
50,R&P,335,*,SD,2250,E,114TH,ST,IMPERIAL COURTS,WATTS,90059,15,704F5,0,"","","Imperial Courts, CA",33.93154525756836,-118.23372650146484
63,VAR,699,*,SD,529,"",11TH,ST,Lot 699,Los Angeles,90731,15,824B6,"","",7454019900,"529 W 11th St, Los Angeles, CA 90731",33.734184354543686,-118.28865431249142
63,VAR,632,*,SD,5345,"",11TH,AV,CRENSHAW SLAUSON,LOS ANGELES,90043,8,673 F5,0,"",5006007900,"90043, CA",33.98872375488281,-118.33509063720703
63,VAR,633,*,SD,5407,"",11TH,AV,CRENSHAW SLAUSON,LOS ANGELES,90016,6,673F4,0,"",5006008900,"90016, CA",34.02840042114258,-118.35417938232422
63,VAR,634,*,SD,5701,"",11TH,AV,CRENSHAW SLAUSON,LOS ANGELES,90043,8,673F6,0,"",5006009902,"90043, CA",33.98872375488281,-118.33509063720703
50,R&P,77,*,SD,6116,"",11TH,AV,11TH AVE PARK,Los Angeles,90043,8,673F6,"","","","90043, CA",33.98872375488281,-118.33509063720703
47,CDD,13,*,SD,1505,E,1ST,ST,"TENANT: UNITED WAY, INC",LOS ANGELES,90033,14,634J4,17023,L-9965,"","90033, CA",34.05023956298828,-118.21083068847656
55,VAR,1,*,SD,360,E,2ND,ST,PENSION,LOS ANGELES,90012,9,634E3,0,"","","360 E 2nd St, Los Angeles, CA 90012",34.04776,-118.240058
5,FIR,422,*,SD,430,E,2ND,ST,LESSOR: LITTLE TOKYO PLAZA,LOS ANGELES,90012,9,634F4,3040,4999-555,5161019011,"90012, CA",34.066219329833984,-118.23871612548828
50,R&P,632,A,SD,2351,"",2ND,AV,2ND AVENUE PARK,LOS ANGELES,90018,10,633G5,0,"","","90018, CA",34.02804183959961,-118.31771087646484
50,R&P,632,*,SD,2413,"",2ND,AV,2ND AVENUE PARK,LOS ANGELES,90019,10,633G6,0,"","","90019, CA",34.048606872558594,-118.33881378173828
50,R&P,804,D,SD,6137,W,3RD,ST,PAN PACIFIC PARK,HANCOCK PARK,90036,4,633C1,"","","",Park,39.119300842285156,-105.71717071533203
50,R&P,604,*,SD,1501,E,41ST,ST,ROSS SNYDER PARK,LOS ANGELES,90011,9,674F3,0,"","","1501 E 41st St, Los Angeles, CA 90011",34.009494,-118.247611
50,R&P,772,*,SD,1248,W,47TH,ST,VERMONT SQUARE,LOS ANGELES,90037,9,674A4,0,"","","90037, CA",34.00276184082031,-118.28748321533203
