DISTRICT,AIN,ASSESSED VALUE,ADDRESS,FIRST_OWNER_NAME,,compiled_address,compiled_lat,compiled_lng
12,2004011900,"$109,383",0         0,L A CITY,"","0, 0",0,0
12,2004025900,"$9,197,667",0         0,L A CITY,"","0, 0",0,0
12,2005001900,"$19,155,775",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2005002901,$0,0         0,L A CITY,"","0, 0",0,0
12,2006002900,"$434,223",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2007001900,"$617,394",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2007002900,"$161,389",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2012014900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2012015900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2012017904,$0,0         0,L A CITY S BY S,"","0, 0",0,0
12,2014008900,"$26,638",0         0,L A CITY,"","0, 0",0,0
12,2017009900,"$2,683",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2017009901,"$198,535",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2017016900,$505,0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2017030900,"$1,600",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2020006900,"$281,873",0         0,L A CITY,"","0, 0",0,0
12,2020008900,"$263,976",0         0,L A CITY,"","0, 0",0,0
12,2020012900,"$299,627",0         0,L A CITY PARK,"","0, 0",0,0
12,2024017900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
12,2024022900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
12,2024023900,"$306,130",0         0,L A CITY,"","0, 0",0,0
12,2024023901,"$102,979",0         0,L A CITY,"","0, 0",0,0
12,2027007900,"$231,273",0         0,L A CITY,"","0, 0",0,0
12,2027039900,"$306,000",0         0,L A CITY,"","0, 0",0,0
12,2028011900,"$12,289",0         0,L A CITY,"","0, 0",0,0
