row,Non Profit,Address,CD #,Lease Start,Lease Exp.,Lease Term,Dept,Status,Condition per Construction Div Project Scope,Street Number,Street Name,Zip Code,Notes,compiled_address,compiled_lat,compiled_lng
65,African Americans Firefighter's Museum,"1409 W. Vernon, L.A. 90062",8,8/1/80,7/31/81,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",1409,Vernon,90062,,"1409 W Vernon Ave, Los Angeles, CA 90062, USA",34.003714,-118.3005767
1,Aliso Pico Center,"1505 E. 1st., L.A. 90033",14,1/1/82,12/31/84,,EWDD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit, Historic Restoration",1505,1,90033,,"1505 E 1st St, Los Angeles, CA 90033, USA",34.0477321,-118.2235357
20,Hoover Intergenerational Child Care Proj.,"3216 S. Hoover St., L.A. 90007",8,,1/12/85,,HCID,,No recent inspection,3216,Hoover,90007,,"3216 S Hoover St, Los Angeles, CA 90007, USA",34.0256956,-118.2839628
99,Watts Chamber of Commerce,"1513 E. 103rd St., L.A.",15,,6/30/86,,GSD,,No recent inspection,1513,103,90002,,"1513 E 103rd St, Los Angeles, CA 90002, USA",33.9435035,-118.2473896
24,L.A.Child Care&Dev. Council/Jardin de Ninos,"2418-2422 Manitou Ave., L.A. 90031",1,,3/31/87,,HCID,,"Tenant Improvements, ADA Compliance",2418,Manitou,90031,,"2422 Manitou Ave, Los Angeles, CA 90031, USA",34.071537,-118.216162
34,Seinan Senior Citizens' Club,"3116 W. Jefferson Blvd., L.A. 90018",8,,5/17/87,,HCID,,"Tenant Improvements, ADA Compliance",3116,Jefferson,90018,,"3116 W Jefferson Blvd, Los Angeles, CA 90018, USA",34.0254173,-118.3300112
2,Arroyo Vista Family Health Foundation,"6000 N. Figueroa St., L.A.90042",14,6/21/81,6/30/87,,HCID,,No recent inspection,6000,Figueroa,90042,,"6000 N Figueroa St, Los Angeles, CA 90042, USA",34.1112944,-118.1886725
95,Low Income&Elderly United Comm. Assistance,"641 Westminster., Venice, 90291",11,,12/31/87,,HCID?,,No recent inspection,641,Westminster,90291,,"641 Westminster Ave, Venice, CA 90291, USA",33.994776,-118.466582
40,Watts Labor Community Action Committee,"1212 E. 108th St., L.A. 90059",15,2/22/90,2/21/90,,GSD,,No recent inspection,1212,108,90059,,"1212 E 108th St, Los Angeles, CA 90059, USA",33.9377233,-118.2539805
12,"Early Learning Center, Inc.","233 N. Breed St., L.A. 90033",14,,3/31/90,,CDD/GSD,,"Tenant Improvements, ADA Compliance",233,Breed,90033,,"233 N Breed St, Los Angeles, CA 90033, USA",34.046544,-118.209969
15,Echo Park-Silverlake People's Child Care,"1953 Lake Shore Ave., L.A. 90039",13,7/1/85,12/31/90,,HCID,,"Tenant Improvements, ADA Compliance, Retaining Wall",1953,Lake Shore,90039,,"1953 Lake Shore Ave, Los Angeles, CA 90039, USA",34.0893592,-118.2551306
66,Canoga Park Chamber of Commerce,"7248-50 Owensmouth Ave., Canoga Park, 91303",3,1/1/85,6/30/91,,GSD,,"Tenant Improvements, ADA Compliance",7248,Owensmouth,91303,,"7248 Owensmouth Ave, Canoga Park, CA 91303, USA",34.2025043,-118.6012995
92,Canoga Park Chamber of Commerce&Care Cen.,"72-7248 Owensmouth Ave., Canoga Park, 91303",3,1/1/85,6/30/91,,GSD,,No recent inspection,72,Owensmouth,91303,,"7248 Owensmouth Ave, Canoga Park, CA 91303, USA",34.2025043,-118.6012995
6,"Childhelp, Inc.","1345 El Centro Ave., Hollywood 90028",13,3/7/89,3/6/92,,HCID,,No recent inspection,1345,El Centro,90028,,"1345 N El Centro Ave, Los Angeles, CA 90028, USA",34.0956511,-118.3240257
28,Mini Twelve Step House,"11143 Missouri Ave., L.A. 90005",5,,6/30/92,,HCID,,Tenant Improvements,11143,Missouri,90005,,"11143 Missouri Ave, Los Angeles, CA 90025, USA",34.0441899,-118.4421636
16,Estelle Van Meter Multi-Purpose Center,"606 E. 76th., L.A. 90001",9,,9/8/92,,HCID,,Tenant Improvements,606,76,90001,,"606 E 76th St, Los Angeles, CA 90001, USA",33.970834,-118.26484
25,L.A.Child Care&Dev. Council/Placita de Ninos,"2661 Pasadena Ave., L.A. 90031",1,,3/30/93,,HCID,,"Tenant Improvements, ADA Compliance",2661,Pasadena,90031,,"2661 Pasadena Ave, Los Angeles, CA 90031, USA",34.078644,-118.2154833
32,People's Coordinated Services of So. Cal.,"5133 Crenshaw Blvd., L.A. 90043",8,1/8/92,12/12/94,,HCID,,"Tenant Improvements, ADA Compliance",5133,Crenshaw,90043,,"5133 Crenshaw Blvd, Los Angeles, CA 90043, USA",33.995764,-118.331345
39,Wilmington Senior Citizens' Multipurpose Cen.,"1148 N. Avalon Blvd., Wilmington 90744",15,7/1/87,12/31/94,,GSD,,Tenant Improvements,1148,Avalon,90744,,"1148 N Avalon Blvd, Wilmington, CA 90744, USA",33.7861837,-118.2626919
17,Foundation for Early Childhood Education,"707 E. Kensington Blvd., L.A. 90026",1,7/1/89,12/31/94,,HCID,ground lease,Tenant Improvements,707,Kensington,90026,,"707 E Kensington Rd, Los Angeles, CA 90026, USA",34.0683308,-118.2518785
13,E. Los Angeles Retarded Citizen's Assoc.,"3839 Selig Place., L.A. 90031",1,10/25/91,12/31/94,,HCID,,HVAC Replacement,3839,Selig,90031,,"3839 Selig Pl, Los Angeles, CA 90031, USA",34.068742,-118.199668
26,"Los Angeles Conservation Corps, Inc.","1839 S. Hoover St., L.A. 90015",1,,12/31/94,,GSD,,No recent inspection,1839,Hoover,90015,,"1839 S Hoover St, Los Angeles, CA 90006, USA",34.0406593,-118.2845687
5,"Career Planning Center, Inc.","1623 La Cienega Blvd., L.A. 90035",5,,9/12/99,,HCID?,,"Tenant Improvements, ADA Compliance",1623,La Cienega,90035,,"1623 S La Cienega Blvd, Los Angeles, CA 90035, USA",34.048353,-118.3764784
69,L. A Police Revolver & Athletic Club,"1880 N. Academy Dr., L.A.",1,8/22/35,8/31/00,,GSD,,ADA Compliance,1880,Academy,90012,,"1880 Academy Dr, Los Angeles, CA 90012, USA",34.082077,-118.2416639
22,Kulick Building,"1501 E. 103rd St., L.A. 90002",15,,12/31/00,,GSD,,No recent inspection,1501,103,90002,,"1501 E 103rd St, Los Angeles, CA 90002, USA",33.9435078,-118.2481267
53,African Firefighter's in Benevolent Assoc.,"5730 S. Crenshaw Blvd., L.A. 90043",8,5/1/93,4/20/01,Mo to Mo,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",5730,Crenshaw,90043,,"5730 Crenshaw Blvd, Los Angeles, CA 90043, USA",33.990008,-118.3302919
50,Fraternal Order of Eagles,"1956 Yosemite Dr., L.A. 90041",14,,12/5/01,,Cultural Affairs,,No recent inspection,1956,Yosemite,90041,,"1956 Yosemite Dr, Los Angeles, CA 90041, USA",34.1342509,-118.2107741
7,"The Children's Collective, Inc.","3817 S. San Pedro St., L.A. 90007",9,1/19/89,3/31/02,Exten. Amend. In Process,HCID,,Tenant Improvements,3817,San Pedro,90007,,"3817 S San Pedro St, Los Angeles, CA 90011, USA",34.011583,-118.268053
57,Hollywood Beautification Team,"1718 N. Cherokee Ave. Space D, L.A. 90028",13,4/1/99,3/31/02,,GSD,,Tenant Improvements,1718,Cherokee,90028,,"1718 N Cherokee Ave, Los Angeles, CA 90028, USA",34.1021761,-118.3345798
3,Boys and Girls Club-San Fernando,"11243 Glenoaks Blvd., Pacoima 91331",7,,10/5/02,,HCID,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",11243,Glenoaks,91331,,"11243 Glenoaks Blvd, Pacoima, CA 91331, USA",34.273945,-118.4129115
