row,Park Property,Sub-Park Name,Address,City,Zip,Rgn.,CD 1,CD 2,CD 3,Acreage,Sub Acreage,Board Report #,Acquisition Date,Thomas Guide,Former/Alternate Name,A.P.N.,Comments,Part ofÃ‰,compiled_address,compiled_lat,compiled_lng
1,1ST AND BROADWAY CIVIC CENTER PARK,,217 W. 1ST STREET,,,   M,14,,,1.96,,,,"634 F-3, G-3",,,,,"217 W 1st St, Pratt, KS 67124, USA",37.6460182,-98.7410827
2,6TH & GLADYS STREET PARK,,824 E. 6TH ST.,,,M,14,,,0.34,,,,634-G5,,5147-029-901,,,"824 E 6th St, Concordia, KS 66901, USA",39.5715331,-97.6473326
3,11th AVENUE PARK                         (unofficial name) ,,6116 11TH AVENUE,,,P,8,,,0.27,,,,673-F6,,,,,"11th Avenue Park, 6116 11th Ave, Los Angeles, CA 90043, USA",33.9840749,-118.3290724
4,49TH STREET POCKET PARK,,670 E. 49TH ST.,,,P,9,,,0.19,,,,674-D4,,,,,"670 E 49th St, Hialeah, FL 33013, USA",25.866974,-80.269451
5,61ST STREET POCKET PARK,,139-141 E. 61ST STREET.,,,P,9,,,0.12,,,,674-C6,,,,,"141 E 61st St, Tulsa, OK 74105, USA",36.0752631,-95.9826314
6,76TH STREET POCKET PARK ,,833 W. 76TH ST.,,,P,8,,,0.13,,,,704-B4,,,,,"833 W 76th St, Chicago, IL 60620, USA",41.7560564,-87.6455942
7,97TH STREET POCKET PARK ,,554 W. 97TH ST.,,,P,8,,,0.13,,,,704-B4,,,,,"554 W 97th St, Chicago, IL 60628, USA",41.7181003,-87.6379927
9,105TH STREET POCKET PARK,,609 W. 105TH ST.,,,P,8,,,0.11,,,,704-B5,,,,,"609 W 105th St, Chicago, IL 60628, USA",41.7027687,-87.6383155
10,109TH STREET RECREATION CENTER,,1464 E. 109TH ST.,,,P,15,,,3.17,,,,704-F6,,6070-004-900,,,"1464 E 109th St, Los Angeles, CA 90059, USA",33.9366823,-118.248944
11,111TH PLACE POCKET PARK,,207 E. 111TH PL.,,,P,8,,,0.09,,,,704-D6,,,,,"207 E 111th Pl, Los Angeles, CA 90061, USA",33.934189,-118.271246
12,1171-1177 MADISON AVENUE  (E. HOLLYWOOD PUBLIC GARDEN),,1171-1177 MADISON AVE. ,,,M,13,,,0.56,,,,594-A5,,,,,"1177 Madison Ave, Albany, NY 12208, USA",42.6662397,-73.7917723
13,4600 ORCHARD AVENUE POCKET PARK,,4600 ORCHARD AVE.,,,P,9,,,0.14,,,,674-B-4,,,,,"4600 Orchard Ave, Dearborn, MI 48126, USA",42.3202475,-83.1863076
14,4916 SOUTH MCKINLEY AVENUE POCKET PARK,,4916 AND 4916 1/2 S. MCKINLEY AVE.,,,P,9,,,0.11,,,,674-E4,,,,,"W McKinley Ave, Haughton, LA 71037, USA",32.5331105,-93.5187584
15,ALBION RIVERSIDE PARK,,1739 ALBION ST.,,,M,1,,,6,,,,634-J1,,,,,"1739 Albion Street, Denver, CO 80220, USA",39.7442005,-104.9389437
16,ALISO CANYON PARK,,18041 RINALDI ST.,,,V,12,,,60.45,,,,480-J7,,"2870-010-901
2601-033-904,903, 902, 901, 900
2601-034-907, 906, 905, 904
2870-009-901 ",,Part of Porter Ranch,"18041 Rinaldi St, Granada Hills, CA 91344, USA",34.279212,-118.526737
18,ALISO TRIANGLE,,1304 PLEASANT AVE.,,,M,14,,,0.04,,,,634-J3,,5174-015-900,,,"1304 Pleasant Ave, Hamilton, OH 45015, USA",39.3846992,-84.5557334
19,ALISO-PICO RECREATION CENTER,,370 S. CLARENCE ST.,,,M,14,,,0.23,,,,634-J4,,5172-021-900,,,"370 S Clarence St, Los Angeles, CA 90033, USA",34.04401,-118.223403
20,ALIZONDO DRIVE PARK,,22103 ALIZONDO DR.,,,V,3,,,6.65,,,,560-A5,,"2173-015-900, 901",,,"22103 Alizondo Dr, Woodland Hills, CA 91364, USA",34.1514373,-118.6067416
21,ALMA PARK,,W. 21ST & MEYLER STS.,,,P,15,,,2.26,,,,824-A7,,7462-026-900,,,"S Meyler St & W 21st St, San Pedro, CA 90731, USA",33.7251863,-118.2968049
22,ALPINE RECREATION CENTER,,817 YALE ST.,,,M,1,,,1.94,,,,634-G2,,5407-021-902,,,"817 Yale St, Houston, TX 77007, USA",29.7857902,-95.3989158
23,ALVARADO TERRACE PARK,,1342 S. ALVARADO TERRACE,,,M,1,,,0.91,,,,634-B5,,5135-004-900,,,"1342 S Alvarado St, Los Angeles, CA 90006, USA",34.0455375,-118.2837725
24,AMISTAD POCKET PARK                              (formerly KAGEL POCKET PARK),,13116 W. KAGEL CANYON ST.,,,V,7,,,0.14,,,,502-D4,,,,,"13116 Kagel Canyon St, Pacoima, CA 91331, USA",34.252873,-118.41798
26,ANDERSON MEMORIAL SENIOR CITIZEN CENTER,,828 S. MESA ST.,,,P,15,,,1.62,,,,824-C5,,7455-010-903,,,"828 S Mesa St, San Pedro, CA 90731, USA",33.7363183,-118.2856054
27,ANDRES PICO ADOBE,,10940 N. SEPULVEDA BLVD.,,,V,7,,,2.2,,,,501-H2,,2615-001-900,,,"10940 N Sepulveda Blvd, Granada Hills, CA 91344, USA",34.3029941,-118.4803542
28,ANGELES MESA PARK,,4726 8TH AVE.,,,P,8,,,0.15,,,,673-F4,,5014-011-900,,,"4726 8th Ave, Graceville, FL 32440, USA",30.957406,-85.5242969
29,ANGELS GATE PARK,,3601 S. GAFFEY ST.,,,P,15,,,70.44,,,,854-B2,,"7469-018-904, 902, 903",,,"3601 S Gaffey St, San Pedro, CA 90731, USA",33.7123818,-118.2941448
30,ARROYO SECO PARK,,5568 VIA MARISOL,,,M,14,,,85.97,,,,595-D3,,"5493-038-900, 270
5493-037-900
5311-001-900
5312-001-900
5312-006-900
5312-007-900
5301-001-900
5301-002-901, 900
5302-006-900
5302-001-900
5302-002-901, 900
5302-031-903
5304-025-902
5304-018-901
5304-019-900
5304-020-901
5304-021-900
5305-001-910
5304-022-901
5304-023-903
5304-024-900
5303-015-901, 900
5303-016-900
5303-017-900
5303-018-902
5303-019-902
5303-020-905
5303-021-900
5303-022-900
5303-025-900
5303-023-903 (S byS)
5303-010-900
5303-011-900",,,"5568 Via Marisol, Los Angeles, CA 90042, USA",34.1043559,-118.1860433
