ain,supplied_address,address_from_apn,latitude,longitude,source_files
2624002018,9954 N EL DORADO AVE ,"9954 EL DORADO AVE, LOS ANGELES CA 91331",33.581311,-112.274715,2015 Registered Foreclosed Properties.csv
5005026008,5233 S MANHATTAN PL ,"5231 S MANHATTAN PL, LOS ANGELES CA 90062",33.994151,-118.3104332,2015 Registered Foreclosed Properties.csv
2747002052,10065 DE ,"10065 DE SOTO AVE, UNIT 103, LOS ANGELES CA 91311",40.7645239,-73.9624327,2015 Registered Foreclosed Properties.csv
5190011021,1149 S GRANDE VISTA AVE ,"1147 S GRANDE VISTA AVE, LOS ANGELES CA 90023",34.0235754,-118.2083399,2015 Registered Foreclosed Properties.csv
2031004049,24647 W GARDENSTONE LANE ,"24647 GARDENSTONE LN, LOS ANGELES CA 91307",34.201873,-118.660701,2015 Registered Foreclosed Properties.csv
5223021025,5054 E O'SULLIVAN DR ,"5054 O SULLIVAN DR, LOS ANGELES CA 90032",41.5439174,-88.1890996,2015 Registered Foreclosed Properties.csv
5221012042,5501 BOHLIG RD ,"5500 DOBBS ST, 1, LOS ANGELES CA 90032",34.072697,-118.162919,2015 Registered Foreclosed Properties.csv
5044009016,3445 S 10TH AVE ,"3443 10TH AVE, LOS ANGELES CA 90018",43.639511,-116.6930333,2015 Registered Foreclosed Properties.csv
2747024108,10155 N DE SOTO AVE ,"10159 DE SOTO AVE, UNIT 204, LOS ANGELES CA 91311",34.255362,-118.589556,2015 Registered Foreclosed Properties.csv
2157008011,5644 ETIWANDA AVE ,"5638 ETIWANDA AVE, UNIT   6, LOS ANGELES CA 91356",34.1508913,-117.5261981,2015 Registered Foreclosed Properties.csv
5486006013,6041 E DELPHI ST ,"6041 DELPHI ST, LOS ANGELES CA 90042",40.5767203,-85.8583029,2015 Registered Foreclosed Properties.csv
2695013034,10424 N LOUISE AVE ,"10424 LOUISE AVE, LOS ANGELES CA 91344",41.9959889,-87.7685123,2015 Registered Foreclosed Properties.csv
5571016002,2625 N NICHOLS CANYON ROAD ,"2625 NICHOLS CANYON RD, LOS ANGELES CA 90046",34.117889,-118.356101,2015 Registered Foreclosed Properties.csv
5517012032,115 S HOBART BLVD ,"115 S HOBART BLVD, LOS ANGELES CA 90004",34.073261,-118.305835,2015 Registered Foreclosed Properties.csv
5518015014,125 S KENMORE AVE ,"123 S KENMORE AVE, LOS ANGELES CA 90004",34.072001,-118.2968119,2015 Registered Foreclosed Properties.csv
2315005024,7756 N FAIR AVE ,"7756 FAIR AVE, LOS ANGELES CA 91352",34.21192,-118.374368,2015 Registered Foreclosed Properties.csv
6054024009,548 W 98TH ST ,"548 W 98TH ST, LOS ANGELES CA 90044",44.826377,-93.2865068,2015 Registered Foreclosed Properties.csv
2184037012,4190 N ALONZO AVE ,"4190 ALONZO AVE, LOS ANGELES CA 91316",34.147414,-118.523113,2015 Registered Foreclosed Properties.csv
6014025010,1322 W 69TH ST ,"1322 W 69TH ST, LOS ANGELES CA 90044",41.768648,-87.6575882,2015 Registered Foreclosed Properties.csv
2787008011,17837 W ROSCOE BLVD ,"17837 ROSCOE BLVD, LOS ANGELES CA 91325",34.2213902,-118.5088237,2015 Registered Foreclosed Properties.csv
4301022034,2619 S HOLT AVE ,"2619 S HOLT AVE, LOS ANGELES CA 90034",34.03633,-118.382929,2015 Registered Foreclosed Properties.csv
5001035047,5400 S FIGUEROA ST ,"5400 S FIGUEROA ST, LOS ANGELES CA 90037",33.993121,-118.282279,2015 Registered Foreclosed Properties.csv
6055007022,1454 W 93RD ST ,"1454 W 93RD ST, LOS ANGELES CA 90047",41.7249098,-87.6595417,2015 Registered Foreclosed Properties.csv
5518002003,115 1 2 S NORMANDIE AVE ,"115 S NORMANDIE AVE, LOS ANGELES CA 90004",29.9378396,-90.2143062,"2015 Registered Foreclosed Properties.csv, Department of Building & Safety Vacant Buildings.csv"
2645010018,9972 N ARLETA AVE ,"9972 ARLETA AVE, LOS ANGELES CA 91331",34.251761,-118.435843,2015 Registered Foreclosed Properties.csv
5402006031,659 N LA FAYETTE PARK PL ,"657 N LA FAYETTE PARK PL, LOS ANGELES CA 90026",34.0779831,-118.2738323,2015 Registered Foreclosed Properties.csv
5538016002,712 N EDGEMONT ST ,"712 N EDGEMONT ST, LOS ANGELES CA 90029",34.084022,-118.295699,2015 Registered Foreclosed Properties.csv
5213032070,4760 E TEMPLETON ST ,"4750 TEMPLETON ST, 1320, LOS ANGELES CA 90032",34.0827049,-118.1818558,2015 Registered Foreclosed Properties.csv
2582008004,13760 W ALMETZ ST ,"13760 ALMETZ ST, LOS ANGELES CA 91342",34.327091,-118.433685,2015 Registered Foreclosed Properties.csv
5081013007,1239 S 4TH AVE ,"1237 4TH AVE, LOS ANGELES CA 90019",42.8570617,-112.4343303,2015 Registered Foreclosed Properties.csv
2172026031,4170 N SALTILLO ST ,"4170 SALTILLO ST, LOS ANGELES CA 91364",38.6472193,-86.289254,2015 Registered Foreclosed Properties.csv
5477015026,1044 N DEXTER ST ,"1048 DEXTER ST, LOS ANGELES CA 90042",43.0295349,-83.6402369,2015 Registered Foreclosed Properties.csv
6039011012,520 W 94TH ST ,"520 W 94TH ST, LOS ANGELES CA 90044",33.950742,-118.28334,2015 Registered Foreclosed Properties.csv
6018016024,7427 S HOBART BLVD ,"7427 S HOBART BLVD, LOS ANGELES CA 90047",33.971959,-118.30817,2015 Registered Foreclosed Properties.csv
4211032082,6020 S SEABLUFF DR ,"6020 SEABLUFF DR, 341, PLAYA VISTA CA 90094",33.9736071,-118.422098,2015 Registered Foreclosed Properties.csv
7413012950,1060 W HARBOR HEIGHTS DR ,"1050 HARBOR HEIGHTS DR, NO     C, LOS ANGELES CA 90710",33.7931503,-118.294461,"2015 Registered Foreclosed Properties.csv, City Owned Within CDs.csv"
6072007007,11517 S STANFORD AVE ,"11515 STANFORD AVE, LOS ANGELES CA 90059",33.9024166,-118.2620726,2015 Registered Foreclosed Properties.csv
2245027038,14151 W BURBANK BLVD ,"14151 BURBANK BLVD, LOS ANGELES CA 91401",34.1723131,-118.6442436,2015 Registered Foreclosed Properties.csv
2343020014,5873 N HILLVIEW PARK AVE ,"5873 HILLVIEW PARK AVE, LOS ANGELES CA 91401",34.177097,-118.426847,2015 Registered Foreclosed Properties.csv
2127002013,6452 N GEYSER AVE ,"6452 GEYSER AVE, LOS ANGELES CA 91335",34.188235,-118.54187,2015 Registered Foreclosed Properties.csv
7462006019,566 W 18TH ST ,"566 W 18TH ST, LOS ANGELES CA 90731",41.857857,-87.641506,2015 Registered Foreclosed Properties.csv
4308015014,2705 S KRIM DR ,"2705 KRIM DR, LOS ANGELES CA 90064",34.041837,-118.400223,2015 Registered Foreclosed Properties.csv
2151037040,20866 W CLARK ST ,"20866 CLARK ST, LOS ANGELES CA 91367",40.4703321,-98.553569,2015 Registered Foreclosed Properties.csv
2368004074,12021 GUERIN ST ,"12021 GUERIN ST, 103, STUDIO CITY CA 91604",34.146161,-118.393065,2015 Registered Foreclosed Properties.csv
4235012043,12515 W PACIFIC AVE ,"12515 PACIFIC AVE, UNIT 209, LOS ANGELES CA 90066",33.8078456,-117.9589809,2015 Registered Foreclosed Properties.csv
6033004044,1335 W 84TH ST ,"1335 W 84TH ST, LOS ANGELES CA 90044",25.8986868,-80.3107586,2015 Registered Foreclosed Properties.csv
7439026168,1415 W LOMITA BLVD ,"1435 LOMITA BLVD, 208, LOS ANGELES CA 90710",33.7978178,-118.3016903,2015 Registered Foreclosed Properties.csv
2608019004,17125 W SUNDERLAND DR ,"17125 SUNDERLAND DR, LOS ANGELES CA 91344",34.294014,-118.506869,2015 Registered Foreclosed Properties.csv
2218013006,14833 W VALERIO ST ,"14833 VALERIO ST, LOS ANGELES CA 91405",34.205031,-118.456486,2015 Registered Foreclosed Properties.csv
5524018001,634 N HIGHLAND AVE ,"634 N HIGHLAND AVE, LOS ANGELES CA 90036",44.0108226,-97.1293361,2015 Registered Foreclosed Properties.csv
2604009041,15828 W LARKSPUR ST ,"15848 LARKSPUR ST, LOS ANGELES CA 91342",34.3226295,-118.4556993,2015 Registered Foreclosed Properties.csv
5221030006,5075 E BOHLIG ROAD ,"5075 BOHLIG RD, LOS ANGELES CA 90032",34.0695849,-118.173069,2015 Registered Foreclosed Properties.csv
2104013005,18936 W KESWICK ST ,"18936 KESWICK ST, LOS ANGELES CA 91335",34.209694,-118.54614,2015 Registered Foreclosed Properties.csv
5216010027,2579 N LOMBARDY BLVD ,"2579 LOMBARDY BLVD, LOS ANGELES CA 90032",37.5665974,-77.4445658,2015 Registered Foreclosed Properties.csv
6069006015,1822 E 109TH ST ,"1822 E 109TH ST, LOS ANGELES CA 90059",33.936887,-118.239958,2015 Registered Foreclosed Properties.csv
5462013080,3443 LOMA LADA DR ,"3443 LOMA LADA DR, LOS ANGELES CA 90065",34.107866,-118.229171,2015 Registered Foreclosed Properties.csv
5071012041,4500 W SATURN ,"4500 SATURN ST, LOS ANGELES CA 90019",31.8531197,-102.4767648,2015 Registered Foreclosed Properties.csv
6061031008,434 W 105TH ST ,"434 W 105TH ST, LOS ANGELES CA 90003",41.7033896,-87.6343643,2015 Registered Foreclosed Properties.csv
5535002022,717 N RIDGEWOOD PL ,"717 N RIDGEWOOD PL, LOS ANGELES CA 90038",34.084095,-118.314947,2015 Registered Foreclosed Properties.csv
2215004086,7447 N WOODMAN AVE ,"7439 WOODMAN AVE, NO 29, LOS ANGELES CA 91405",34.2094482,-118.4311664,2015 Registered Foreclosed Properties.csv
6033018017,1130 W 81ST ST ,"1130 W 81ST ST, LOS ANGELES CA 90044",41.7468865,-87.652429,2015 Registered Foreclosed Properties.csv
5556031022,1646 N WOODS DR ,"1646 WOODS DR, LOS ANGELES CA 90069",33.586801,-83.2615785,2015 Registered Foreclosed Properties.csv
