source,apn_given,address_given,address
2015 Registered Foreclosed Properties.csv,2624002018,9954 N EL DORADO AVE ,""
2015 Registered Foreclosed Properties.csv,5005026008,5233 S MANHATTAN PL ,""
2015 Registered Foreclosed Properties.csv,2747002052,10065 DE ,""
2015 Registered Foreclosed Properties.csv,5190011021,1149 S GRANDE VISTA AVE ,""
2015 Registered Foreclosed Properties.csv,2031004049,24647 W GARDENSTONE LANE ,""
2015 Registered Foreclosed Properties.csv,5223021025,5054 E O'SULLIVAN DR ,""
2015 Registered Foreclosed Properties.csv,5221012042,5501 BOHLIG RD ,""
2015 Registered Foreclosed Properties.csv,5044009016,3445 S 10TH AVE ,""
2015 Registered Foreclosed Properties.csv,2747024108,10155 N DE SOTO AVE ,""
2015 Registered Foreclosed Properties.csv,2157008011,5644 ETIWANDA AVE ,""
2015 Registered Foreclosed Properties.csv,5486006013,6041 E DELPHI ST ,""
2015 Registered Foreclosed Properties.csv,2695013034,10424 N LOUISE AVE ,""
2015 Registered Foreclosed Properties.csv,5571016002,2625 N NICHOLS CANYON ROAD ,""
2015 Registered Foreclosed Properties.csv,5517012032,115 S HOBART BLVD ,""
2015 Registered Foreclosed Properties.csv,5518015014,125 S KENMORE AVE ,""
2015 Registered Foreclosed Properties.csv,2315005024,7756 N FAIR AVE ,""
2015 Registered Foreclosed Properties.csv,6054024009,548 W 98TH ST ,""
2015 Registered Foreclosed Properties.csv,2184037012,4190 N ALONZO AVE ,""
2015 Registered Foreclosed Properties.csv,6014025010,1322 W 69TH ST ,""
2015 Registered Foreclosed Properties.csv,2787008011,17837 W ROSCOE BLVD ,""
2015 Registered Foreclosed Properties.csv,4301022034,2619 S HOLT AVE ,""
2015 Registered Foreclosed Properties.csv,5001035047,5400 S FIGUEROA ST ,""
2015 Registered Foreclosed Properties.csv,6055007022,1454 W 93RD ST ,""
2015 Registered Foreclosed Properties.csv,5518002003,115 1 2 S NORMANDIE AVE ,""
2015 Registered Foreclosed Properties.csv,2645010018,9972 N ARLETA AVE ,""
2015 Registered Foreclosed Properties.csv,5402006031,659 N LA FAYETTE PARK PL ,""
2015 Registered Foreclosed Properties.csv,5538016002,712 N EDGEMONT ST ,""
2015 Registered Foreclosed Properties.csv,5213032070,4760 E TEMPLETON ST ,""
2015 Registered Foreclosed Properties.csv,2582008004,13760 W ALMETZ ST ,""
2015 Registered Foreclosed Properties.csv,5081013007,1239 S 4TH AVE ,""
2015 Registered Foreclosed Properties.csv,4211032082,6020 S SEABLUFF DR ,""
2015 Registered Foreclosed Properties.csv,7413012950,1060 W HARBOR HEIGHTS DR ,""
2015 Registered Foreclosed Properties.csv,6072007007,11517 S STANFORD AVE ,""
2015 Registered Foreclosed Properties.csv,2245027038,14151 W BURBANK BLVD ,""
2015 Registered Foreclosed Properties.csv,2343020014,5873 N HILLVIEW PARK AVE ,""
2015 Registered Foreclosed Properties.csv,2127002013,6452 N GEYSER AVE ,""
2015 Registered Foreclosed Properties.csv,7462006019,566 W 18TH ST ,""
2015 Registered Foreclosed Properties.csv,4308015014,2705 S KRIM DR ,""
2015 Registered Foreclosed Properties.csv,2151037040,20866 W CLARK ST ,""
2015 Registered Foreclosed Properties.csv,2368004074,12021 GUERIN ST ,""
2015 Registered Foreclosed Properties.csv,4235012043,12515 W PACIFIC AVE ,""
2015 Registered Foreclosed Properties.csv,6033004044,1335 W 84TH ST ,""
2015 Registered Foreclosed Properties.csv,7439026168,1415 W LOMITA BLVD ,""
2015 Registered Foreclosed Properties.csv,2172026031,4170 N SALTILLO ST ,""
2015 Registered Foreclosed Properties.csv,5477015026,1044 N DEXTER ST ,""
2015 Registered Foreclosed Properties.csv,6039011012,520 W 94TH ST ,""
2015 Registered Foreclosed Properties.csv,2608019004,17125 W SUNDERLAND DR ,""
2015 Registered Foreclosed Properties.csv,2218013006,14833 W VALERIO ST ,""
2015 Registered Foreclosed Properties.csv,5524018001,634 N HIGHLAND AVE ,""
2015 Registered Foreclosed Properties.csv,2604009041,15828 W LARKSPUR ST ,""
2015 Registered Foreclosed Properties.csv,5221030006,5075 E BOHLIG ROAD ,""
2015 Registered Foreclosed Properties.csv,2104013005,18936 W KESWICK ST ,""
2015 Registered Foreclosed Properties.csv,5216010027,2579 N LOMBARDY BLVD ,""
2015 Registered Foreclosed Properties.csv,6069006015,1822 E 109TH ST ,""
2015 Registered Foreclosed Properties.csv,5462013080,3443 LOMA LADA DR ,""
2015 Registered Foreclosed Properties.csv,5071012041,4500 W SATURN ,""
2015 Registered Foreclosed Properties.csv,6061031008,434 W 105TH ST ,""
2015 Registered Foreclosed Properties.csv,5535002022,717 N RIDGEWOOD PL ,""
2015 Registered Foreclosed Properties.csv,2215004086,7447 N WOODMAN AVE ,""
2015 Registered Foreclosed Properties.csv,6033018017,1130 W 81ST ST ,""
2015 Registered Foreclosed Properties.csv,5556031022,1646 N WOODS DR ,""
2015 Registered Foreclosed Properties.csv,6050032011,854 E CENTURY BLVD ,""
2015 Registered Foreclosed Properties.csv,5052025017,2110 W 30TH ST ,""
2015 Registered Foreclosed Properties.csv,2508012013,14144 W SAYRE ST ,""
2015 Registered Foreclosed Properties.csv,2130027034,19350 W SHERMAN WAY ,""
2015 Registered Foreclosed Properties.csv,5128002016,234 E 27TH ST ,""
2015 Registered Foreclosed Properties.csv,2102026100,8105 N CANBY AVE ,""
2015 Registered Foreclosed Properties.csv,6016021026,2028 W 67TH ST ,""
2015 Registered Foreclosed Properties.csv,5303005016,4425 N BERENICE AVE ,""
2015 Registered Foreclosed Properties.csv,2629003126,12665 N EAGLE ROCK WAY ,""
2015 Registered Foreclosed Properties.csv,6048035050,9722 S HOLMES AVE ,""
2015 Registered Foreclosed Properties.csv,2103019018,7812 N RHEA AVE ,""
2015 Registered Foreclosed Properties.csv,5160020014,417 N BIXEL ST ,""
2015 Registered Foreclosed Properties.csv,2162019059,5403 NEWCASTLE ,""
2015 Registered Foreclosed Properties.csv,2517005003,13878 W HUBBARD ST ,""
2015 Registered Foreclosed Properties.csv,2106009029,7727 N LUBAO AVE ,""
2015 Registered Foreclosed Properties.csv,5471011016,817 N TERRACE ,""
2015 Registered Foreclosed Properties.csv,2509007039,13973 W HERRON ST ,""
2015 Registered Foreclosed Properties.csv,6033004002,1259 W 83RD PL ,""
2015 Registered Foreclosed Properties.csv,6050024008,628 E 97TH ST ,""
2015 Registered Foreclosed Properties.csv,5136016009,1119 S GRAND VIEW ST ,""
2015 Registered Foreclosed Properties.csv,2316027019,7313 N CAMELLIA AVE ,""
2015 Registered Foreclosed Properties.csv,6035013001,2158 W 82ND ST ,""
2015 Registered Foreclosed Properties.csv,5219013005,3528 N CHADWICK DR ,""
2015 Registered Foreclosed Properties.csv,2723019155,10456 N BROOKE AVE ,""
2015 Registered Foreclosed Properties.csv,2162009068,5414 NEWCASTLE ,""
2015 Registered Foreclosed Properties.csv,5189004026,938 1 2 S CAMULOS ST ,""
2015 Registered Foreclosed Properties.csv,5090028032,837 S WINDSOR BLVD ,""
2015 Registered Foreclosed Properties.csv,5054007019,2929 S KENWOOD AVE ,""
2015 Registered Foreclosed Properties.csv,6071007007,745 1 2 E 111TH PL ,""
2015 Registered Foreclosed Properties.csv,4007022016,6219 1 2 S VAN NESS AVE ,""
2015 Registered Foreclosed Properties.csv,2822033003,11431 N DORAL AVE ,""
2015 Registered Foreclosed Properties.csv,2747012039,10206 N OWENSMOUTH AVE ,""
2015 Registered Foreclosed Properties.csv,2696023014,17154 W TULSA ST ,""
2015 Registered Foreclosed Properties.csv,6023022033,837 E 77TH ST ,""
2015 Registered Foreclosed Properties.csv,6067005019,2026 E 110TH ST ,""
2015 Registered Foreclosed Properties.csv,6003014025,1057 W 60TH PL ,""
2015 Registered Foreclosed Properties.csv,2171024056,4769 N GALENDO ST ,""
2015 Registered Foreclosed Properties.csv,5460025019,3835 N ACKERMAN DR ,""
2015 Registered Foreclosed Properties.csv,5439017003,2465 W LINDSAY LANE ,""
2015 Registered Foreclosed Properties.csv,5021013021,4216 S DENKER AVE ,""
2015 Registered Foreclosed Properties.csv,2510018005,13238 N GLADSTONE AVE ,""
2015 Registered Foreclosed Properties.csv,2327006103,6950 FULTON AVE ,""
2015 Registered Foreclosed Properties.csv,6031001023,129 W 73RD ST ,""
2015 Registered Foreclosed Properties.csv,2505022010,14441 W LYLE ST ,""
2015 Registered Foreclosed Properties.csv,5073021020,1645 S CIMARRON ST ,""
2015 Registered Foreclosed Properties.csv,2010007022,22117 W LONDELIUS ST ,""
2015 Registered Foreclosed Properties.csv,2701073038,20129 W LIVORNO WAY ,""
2015 Registered Foreclosed Properties.csv,2501014046,13697 N DE GARMO AVE ,""
2015 Registered Foreclosed Properties.csv,5093025075,727 S ARDMORE AVE ,""
2015 Registered Foreclosed Properties.csv,4321014005,2018 S GLENDON AVE ,""
2015 Registered Foreclosed Properties.csv,2707017017,20311 W MINNEHAHA ST ,""
2015 Registered Foreclosed Properties.csv,7411005199,26057 S FRAMPTON AVE ,""
2015 Registered Foreclosed Properties.csv,5223018018,4849 E FARQUHAR ST ,""
2015 Registered Foreclosed Properties.csv,6022004024,123 E 76TH ST ,""
2015 Registered Foreclosed Properties.csv,5120025016,747 E 32ND ST ,""
2015 Registered Foreclosed Properties.csv,4426030004,701 N TEAKWOOD ROAD ,""
2015 Registered Foreclosed Properties.csv,2222022009,15354 W LEADWELL ST ,""
2015 Registered Foreclosed Properties.csv,2682021035,16840 W DONMETZ ST ,""
2015 Registered Foreclosed Properties.csv,2694013003,10038 N LOUISE AVE ,""
2015 Registered Foreclosed Properties.csv,2747007122,21143 W LASSEN ST ,""
2015 Registered Foreclosed Properties.csv,2328016015,6927 N VARNA AVE ,""
2015 Registered Foreclosed Properties.csv,7404021021,1959 N LAKME AVE ,""
2015 Registered Foreclosed Properties.csv,2356031019,12415 W RIVERSIDE DR ,""
2015 Registered Foreclosed Properties.csv,2550022005,10005 W FOOTHILL BLVD ,""
2015 Registered Foreclosed Properties.csv,5114008012,788 E 40TH PL ,""
2015 Registered Foreclosed Properties.csv,7410026075,25207 S FRAMPTON AVE ,""
2015 Registered Foreclosed Properties.csv,2027028007,23545 W SPIRES ST ,""
2015 Registered Foreclosed Properties.csv,2103016009,18705 W SATICOY ST ,""
2015 Registered Foreclosed Properties.csv,2697015011,17175 W SIMONDS ST ,""
2015 Registered Foreclosed Properties.csv,4006026039,6840 S 11TH AVE ,""
