PROPERTY NAME,ADDRESS
AVENUE 19 YARD ," 401 N. Avenue 19, Los Angeles, 90031"
CENTRAL FACILITIES BUILDING ," 251 E. 6th St. , Los Angeles, 90013"
FIRE STATION NO. 9,"430 E. 7th St., Los Angeles, 90023"
FIRE STATION NO. 27 ," 1327 N. Cole Ave., Los Angeles, 90028"
FIRE STATION NO. 52 ,"4957 Melrose Ave., Los Angeles, 90029"
FIRE STATION NO. 59," 11505 Olympic Blvd., Los Angeles, 90064"
FIRE STATION NO. 61 ," 5821 W. 3rd Street, Los Angeles, 90036"
FIRE STATION NO. 63,"1930 Shell Ave., Venice, 90291"
FIRE STATION NO. 68 ," 5021 W. Washington Blvd., Los Angeles, 90019"
FIRE STATION NO. 83,"4960 Balboa Blvd., Encino, 91436"
FOOTHILL POLICE STATION ," 12732 Osborne St., Pacoima, 91331"
HOLLYWOOD POLICE STATION ," 1358 N. Wilcox Ave. , Hollywood , 90028"
LAPD TRAINING CENTER," 5651 W. Manchester Ave., Westchester, 90045"
METROLINK PARKING LOT," 8350 San Fernando Rd. , Sun Valley, 91352"
NEWTON POLICE STATION ,"3400 S. Central Ave., Los Angeles, 90011"
NORTH HOLLYWOOD POLICE STATION ," 11640 W. Burbank Blvd., North Hollywood,91601"
OLD VENICE CITY HALL,"681 Venice Blvd., Venice, 90291"
PACIFIC POLICE STATION ,"12312 Culver Blvd., Venice, 90066"
PARKING LOT ," 1300 block of Electric Ave., Venice, 90291"
SOUTHWEST POLICE STATION ," 1546 W. Martin Luther King Blvd,, Los Angeles, CA 90062"
THATCHER YARD," 3311 Thatcher Ave., Venice, 90292"
WEST L.A. POLICE STATION ," 1663 Butler Ave., Los Angeles, 90025"
WILSHIRE POLICE STATION ,"4861 Venice Blvd., Los Angeles, 90019"
VACANT LAND," 525 N. Los Angeles St., Los Angeles, 90012 "
VACANT LAND , Hill St. between Ord St. & Cesar E. Chavez
VAN NUYS HQ PARKING STRUCTURE ," 14320 W. Sylvan St., Van Nuys, 91401"
7th STREET POLICE STATION ," 7600 S. Broadway Ave., Los Angeles, 90037"
