Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN
5,POL,768,*,SD,,,,,"ROOM 200 TERMINAL BLDG, AIRPORT MANAGER",ONTARIO,91761,,,8201,4999-856,
9,POL,79,*,ND,,,,,LESSOR: DEPT OF AIRPORTS/VAN NUYS,VAN NUYS,90074,,,97009,4999-858,
53,,3,*,,,,,,ONTARIO AIRPORT,LOS ANGELES,,,,,,
56,CDD,5,*,SD,1501,E,103RD,ST,KULICK BUILDING - CRA Owned.  CDD runs program,LOS ANGELES,90002,15,704F5,,,
1,DGS,7,*,CD,1513,E,103RD,ST,WATTS MUNICIPAL BUILDING,WATTS,90002,15,704F4,14391,L-5116R,6048012931
1,DGS,7,B,CD,1515,E,103RD,ST,Watts Municipal Building,WATTS,90002,15,704F4,14391,L-5116R,6048012931
1,DGS,7,A,CD,1519,E,103RD,ST,Watts Municipal Building,WATTS,90002,15,704F4,14391,L-5116R,6048012931
60,FIR,150,*,SD,1525,E,103RD,ST,PREVIOUS Fire Station #65,WATTS,90002,15,704F4,5760,,6048012931
19,CUL,19,*,SD,1686,E,103RD,ST,WATTS TRAIN STATION CULTURAL CENTER,Los Angeles,90002,15,704 E5,2360,,
25,STM,486,*,,1752,E,103RD,ST,LANDSCAPE MEDIAN ISLAND,,90002,0,,0,,
47,CDD,27,*,SD,1827,E,103RD,ST,ROBERT PITTS CENTER,WATTS,90059,15,703H5,458,L-9969,
50,R&P,383,*,SD,900,,104TH,PL,LITTLE GREEN ACRES PARK,LOS ANGELES,90044,8,704E5,0,,
25,STM,478,*,,1785,E,104TH,ST,LANDSCAPE MEDIAN ISLAND,,90002,0,,0,,
19,CUL,1,*,SD,1727,E,107TH,ST,WATTS TOWERS ART CENTER,WATTS,90002,15,704F5,0,,6065034901
19,CUL,1,A,SD,1761,E,107TH,ST,WATTS TOWERS PARK,WATTS,90002,15,704F5,0,,6065034905
19,CUL,1,B,SD,1765,E,107TH,ST,WATTS TOWER CONSERVATION OFFICE,WATTS,90002,15,704F5,0,,6065034900
5,FIR,64,*,SD,118,W,108TH,ST,FIRE STATION #64,LOS ANGELES,90061,15,704D6,8010,,6074010900
5,FIR,64,B,SD,118,W,108TH,ST,FIRE STATION #64,LOS ANGELES,90061,15,704D6,,,6074010900
9,POL,19,C,SD,141,W,108TH,ST,SOUTHEAST POLICE STATION,LOS ANGELES,90061,15,704D6,0,,6074009923
9,POL,19,*,SD,145,W,108TH,ST,SOUTHEAST POLICE STATION,LOS ANGELES,90061,8,704D6,26700,,6074009923
60,,82,*,SD,1102,E,108TH,ST,VACANT DEVELOPED PROPERTY-LT INDUST,LOS ANGELES,90059,,704E5,5500,,6071018900
