Project Name,Address,Owner,Manager,Notes
Bethune Library,"3685 South Vermont, Los Angeles, CA 90007",CRA/LA,HCIDLA,
First and Mission - Ocean Queen,"1300 East 1st Street, Los Angeles, CA, 90033",CRA/LA,Public Works Office of Community Beautification,
First and Boyle TOD,"110 South boyle Avenue, Los Angeles, CA 90033",CRA/LA,Public Works Office of Community Beautification,
Bunker Hill Parcel Y-1,"361 South Hill Street, Los Angeles, 90017",CRA/LA,Public Works Office of Community Beautification,
Reseda Theater,18447 Sherman Way,CRA/LA,Public Works Office of Community Beautification,Reseda Theater is listed as 1 project but has 2 addresses
Reseda Theater,7227 Canby Avenue,CRA/LA,Public Works Office of Community Beautification,Reseda Theater is listed as 1 project but has 2 addresses
Reseda Town Center,"18210 Sherman Way, Los Angeles, CA 91335",CRA/LA,Public Works Office of Community Beautification,Reseda Town Center is listed as 1 project but lists 2 addresses
Reseda Town Center,"1828 Sherman Way, Los Angeles, CA 91335",CRA/LA,Public Works Office of Community Beautification,Reseda Town Center is listed as 1 project but lists 2 addresses
Westlake Theater,"634 Alvarado Street, Los Angeles, CA 90057",CRA/LA,Public Works Office of Community Beautification,Westlake Theater appears as 1 project with  5 addresses
Westlake Theater,"619 Westlake Avenue, Los Angeles, CA 90057",CRA/LA,Public Works Office of Community Beautification,Westlake Theater appears as 1 project with  5 addresses
Westlake Theater,"623 Westlake Avenue, Los Angeles, CA 90057",CRA/LA,Public Works Office of Community Beautification,Westlake Theater appears as 1 project with  5 addresses
Westlake Theater,"627 Westlake Avenue, Los Angeles, CA 90057",CRA/LA,Public Works Office of Community Beautification,Westlake Theater appears as 1 project with  5 addresses
Westlake Theater,"629 Westlake Avenue, Los Angeles, CA 90057",CRA/LA,Public Works Office of Community Beautification,Westlake Theater appears as 1 project with  5 addresses
Marlton Square,"3700 W Martin Luther King Jr Blvd, Los Angeles, CA 90008",CRA/LA,Public Works Office of Community Beautification,"Marlton Square appears as 1 project but includes 3700,3742,3760-3772 & 3800 W Martin Luther King Jr Blvd, Los Angeles, CA 90008 AND 4023-4025 Marlton Ave, Los Angeles, CA 90008"
Marlton Square,"4023 Marlton Ave, Los Angeles, CA 90008",CRA/LA,Public Works Office of Community Beautification,"Marlton Square appears as 1 project but includes 3700,3742,3760-3772 & 3800 W Martin Luther King Jr Blvd, Los Angeles, CA 90008 AND 4023-4025 Marlton Ave, Los Angeles, CA 90008"
Watts Train Station,"1686 East 103rd Street, Los Angeles, CA 90002 ",CRA/LA,Public Works Office of Community Beautification,Watts Train Station listed as 1 project and includes a variety of addresses
Watts Train Station,"1663 East 108th Street, Los Angeles, CA 90059",CRA/LA,Public Works Office of Community Beautification,Watts Train Station listed as 1 project and includes a variety of addresses
Watts Train Station,"10341 South Graham Avenue, Los Angeles, CA 90002",CRA/LA,Public Works Office of Community Beautification,Watts Train Station listed as 1 project and includes a variety of addresses
Wilmington Block 27,"518 North McFarland Avenue, Los Angeles CA 90744",CRA/LA,CRA/LA,Wilmington Block 27 *includes* all of the addresses between 518-530 N McFarland
Wilmington Block 27,"530 North McFarland Avenue, Los Angeles, CA 90744",CRA/LA,CRA/LA,Wilmington Block 27 *includes* all of the addresses between 518-530 N McFarland
