Property ID,Open,Parcel Number,Address,Address,Description,Project Area,City,latitude,longitude
380,Open,5135-023-914,"1318 S Union Ave , Los Angeles, CA",1318 S Union Ave,,City Center,", Los Angeles, CA",34.043958,-118.2772643
372,Open,6048-028-935,"1827 E 103rd St , Los Angeles, CA",1827 E 103rd St,,City Center,", Los Angeles, CA",33.943229,-118.2404228
493,Open,5053-012-037,"1934 Adams Blvd. , Los Angeles, CA",1934 Adams Blvd.,,City Center,", Los Angeles, CA",34.0326559,-118.3071964
468,Open,5149-010-266,"200 S GRAND AVE , Los Angeles, CA",200 S GRAND AVE,,Council District 9,", Los Angeles, CA",33.7422819,-118.2900987
246,Open,5151-004-913,"220 S Hope St , Los Angeles, CA",220 S Hope St,,Council District 9,", Los Angeles, CA",34.054717,-118.2512006
246,Open,5151-004-911,"220 S Hope St , Los Angeles, CA",220 S Hope St,,Pico Union 1,", Los Angeles, CA",34.054717,-118.2512006
246,Open,5151-004-912,"220 S Hope St , Los Angeles, CA",220 S Hope St,,Pico Union 1,", Los Angeles, CA",34.054717,-118.2512006
258,Open,7424-016-906,"306 N Eubank Ave , Los Angeles, CA",306 N Eubank Ave,,Pico Union 1,", Los Angeles, CA",34.0534897,-118.2453232
491,Open,5032-003-006,"3742 W. MLK Blvd. , Los Angeles, CA",3742 W. MLK Blvd.,,Pico Union 1,", Los Angeles, CA",34.0125732,-118.3392868
256,Open,6006-030-902,"5910 Crocker St , Los Angeles, CA",5910 Crocker St,,,", Los Angeles, CA",33.9870262,-118.268219
415,Open,2119-030-024,"7225 Lindley Ave , Los Angeles, CA",7225 Lindley Ave,,Watts,", Los Angeles, CA",34.2018623,-118.5276642
415,Open,2119-030-019,"7225 Lindley Ave , Los Angeles, CA",7225 Lindley Ave,,Watts,", Los Angeles, CA",34.2018623,-118.5276642
33,Open,5137-013-909,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-906,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-905,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-904,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-903,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-902,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
33,Open,5137-013-901,"1025 Albany St. , Los Angeles, CA",1025 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1,", Los Angeles, CA",34.0471921,-118.2716243
390,Open,2416-024-011,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-010,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-009,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Watts,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-008,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Wilshire Center / Koreatown,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-007,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Wilshire Center / Koreatown,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-006,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-005,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9,", Los Angeles, CA",34.1656975,-118.3653326
390,Open,2416-024-004,"5240 RIVERTON AVE , Los Angeles, CA",5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9,", Los Angeles, CA",34.1656975,-118.3653326
172,Open,5149-019-034,"343 S Spring St , Los Angeles, CA",343 S Spring St,<div>Broadway Spring Center</div>,Council District 9,", Los Angeles, CA",34.0493942,-118.2478613
172,Open,5149-019-035,"343 S Spring St , Los Angeles, CA",343 S Spring St,<div>Broadway Spring Center</div>,Wilshire Center / Koreatown,", Los Angeles, CA",34.0493942,-118.2478613
41,Open,2111-019-903,"7253 N Remmet Ave , Los Angeles, CA",7253 N Remmet Ave,<div>Canoga Park Library and 33 space parking lot</div>,Wilshire Center / Koreatown,", Los Angeles, CA",34.2021574,-118.6003344
41,Open,2111-019-901,"7253 N Remmet Ave , Los Angeles, CA",7253 N Remmet Ave,<div>Canoga Park Library and 33 space parking lot</div>,City Center,", Los Angeles, CA",34.2021574,-118.6003344
238,Open,5546-015-900,"1400 N Ivar Ave , Los Angeles, CA",1400 N Ivar Ave,<div>Cinerama Dome Parking Facility. &nbsp;Reciprocal lease agreement with lease restrictions that restrict parking rates.</div>,City Center,", Los Angeles, CA",34.0962973,-118.328746
253,Open,5546-015-901,"6318 W De Longpre Ave , Los Angeles, CA",6318 W De Longpre Ave,<div>Cineramadome Parking Facility</div>,City Center,", Los Angeles, CA",34.0961149,-118.3271413
253,Open,5546-015-902,"6318 W De Longpre Ave , Los Angeles, CA",6318 W De Longpre Ave,<div>Cineramadome Parking Facility</div>,City Center,", Los Angeles, CA",34.0961149,-118.3271413
489,Open,5144-009-079,"755 S. Figueroa St. , Los Angeles, CA",755 S. Figueroa St.,<div>Citicorp Plaza parking facility.</div>,City Center,", Los Angeles, CA",34.0486418,-118.2606547
389,Open,7451-018-021,"303 S. Pacific Ave , Los Angeles, CA",303 S. Pacific Ave,<div>Commercial property on the Pacific Corridor. &nbsp;Brownsfields parcel with cleanup funding from TI. &nbsp;&nbsp;Cleanup not started.</div>,City Center,", Los Angeles, CA",33.741024,-118.2882538
123,Open,5137-030-916,"1423 W 012 St , Los Angeles, CA",1423 W 012 St,<div>Crescent Court Townhomes Loan 871796. &nbsp;Existing 30-year lease set to expire.</div>,City Center,", Los Angeles, CA",34.0534897,-118.2453232
184,Open,5168-010-919,"2323 E 15Th St , Los Angeles, CA",2323 E 15Th St,"<div>Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",City Center,", Los Angeles, CA",34.0212786,-118.2305503
192,Open,5168-010-918,"2468 E 16Th St , Los Angeles, CA",2468 E 16Th St,"<div>Crown Coach, Remnant Parcel. &nbsp;Across the street from the larger Crown Coach property. &nbsp;Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",Adelante Eastside,", Los Angeles, CA",34.0196579,-118.2290255
375,Open,5168-010-921,"2449 E 16Th St , Los Angeles, CA",2449 E 16Th St,"<div>Crown Coach, Remnant Parcel. &nbsp;Purchased along with APN 5168-010-918. &nbsp;Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",Little Tokyo,", Los Angeles, CA",34.0197451,-118.2292206
442,Open,5078-017-901,"1053 S MARIPOSA AVE , Los Angeles, CA",1053 S MARIPOSA AVE,<div>Former 5-unit duplexes and one single family unit. &nbsp;Structures demolished.</div>,,", Los Angeles, CA",34.0511475,-118.2992401
442,Open,5078-017-901,"1047 S MARIPOSA AVE , Los Angeles, CA",1047 S MARIPOSA AVE,<div>Former 5-unit duplexes and one single family unit. &nbsp;Structures demolished.</div>,North Hollywood,", Los Angeles, CA",34.0512733,-118.2992401
90,Open,5049-016-908,"2515 S Sycamore Ave , Los Angeles, CA",2515 S Sycamore Ave,"<div>Former 8 unit residential building, now demolished. &nbsp;Acquired with CDBG funds.</div>",Pico Union 1,", Los Angeles, CA",34.0335617,-118.3539658
433,Open,5049-016-906,"2535 S SYCAMORE AVE                     , Los Angeles, CA",2535 S SYCAMORE AVE                    ,"<div>Former 8-unit residential building, now demolished.</div>",Pico Union 1,", Los Angeles, CA",34.0330696,-118.3542023
334,Open,5127-029-902,"206 E WASHINGTON BLVD , Los Angeles, CA",206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",,", Los Angeles, CA",34.0300484,-118.2633133
