City,Address,Case#,CD,Inspector,Area,Building Type,Approved Use,File Assigned To,Size,,,Abate Effective
,,680340,2,RICHARD SIMONS,,V,SFD,Code: CNA,50,75,3750,5/14/15
Los Angeles,819 W 105TH ST,162511,8,JOHN STEPHENS,III,V,SFD,Code: CNA,24,33,792,1/17/06
Los Angeles,205 E 107TH ST,696578,8,JOHN STEPHENS,III,*****,DUPLEX,Code: CNA,0,0,0,10/5/15
Los Angeles,731 E 107TH ST,218080,8,JOHN STEPHENS,III,V,SFD,Code: CNA,25,30,750,3/7/08
Los Angeles,1113 E 107TH ST,533886,8,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,1/22/14
Los Angeles,813 E 108TH ST,174047,8,JOHN STEPHENS,III,V,COMMERCIAL,Code: CNA,28,93,2604,7/21/06
Los Angeles,815 E 108TH ST,174046,8,JOHN STEPHENS,III,V,COMMERCIAL,Code: CNA,28,93,2604,7/21/06
Los Angeles,906 E 109TH ST,676862,8,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,4/1/15
Los Angeles,1630 E 109TH ST,393531,15,JOHN STEPHENS,III,V,DUPLEX,Code: CNA,26,52,1352,10/1/10
Los Angeles,324 W 10TH ST,640876,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,7/24/14
Los Angeles,159 W 110TH ST,685667,8,JOHN STEPHENS,III,V,SFD,Code: CNA,25,40,1000,6/15/15
Los Angeles,1431 E 111TH ST,592089,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,5/21/14
Los Angeles,2014 E 111TH ST,419662,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,6/2/11
Los Angeles,1503 E 112TH ST,517948,15,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,10/25/13
Los Angeles,2108 E 112TH ST,553614,15,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,3/10/14
Los Angeles,1646 E 113TH ST,689141,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,7/28/15
Los Angeles,1674 E 115TH ST,409454,15,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,3/18/11
Los Angeles,861 E 116TH ST,383398,15,JOHN STEPHENS,III,V,SFD,Code: CNA,34,47,1598,6/23/10
Los Angeles,200 W 119TH ST,622442,15,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,7/3/14
Los Angeles,819 W 124TH ST,177034,15,JOHN STEPHENS,III,V,SFD,Code: CNA,40,90,3600,8/2/06
Los Angeles,844 W 126TH ST,219756,15,JOHN STEPHENS,III,V,SFD,Code: CNA,35,40,1400,3/20/08
Los Angeles,2210 W 12TH ST,101671,1,TIM FONG,II,V,APT,Code: CNA,35,45,1575,6/23/03
Los Angeles,626 W 17TH ST,232603,9,JEFFREY CORPUZ,II,*****,APT,Code: CNA,0,0,0,8/12/08
Los Angeles,1328 W 17TH ST,385287,1,JEFFREY CORPUZ,II,V,APT,Code: CNA,0,0,0,7/5/10
Los Angeles,4839 W 18TH ST,311336,10,TIM FONG,II,V,SFD,Code: CNA,0,0,0,9/2/09
Los Angeles,4839 W 18TH ST,311465,10,TIM FONG,II,V,SFD,Code: CNA,0,0,0,9/2/09
Los Angeles,1445 W 22ND ST,468223,8,JEFFREY CORPUZ,II,V,SFD,Code: CNA,30,70,2100,6/15/12
Los Angeles,1057 E 23RD ST,675283,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,0,0,0,3/5/15
