#,Property Address,City,Zip Code,"Project 
Name",APN, Parcel Size    (sq. ft.) ,Property Description,"Council 
District"
,1035 S. Berendo St.,,90006,Berendo Street Site,5078012900,"11,802",Vacant Lot,1
1,1039 S. Berendo St.,Los Angeles,90006,Berendo Street Site,5078012901,"11,802",Vacant Lot,1
2,"619, 623, 627, 629  S. Westlake Ave",Los Angeles,90057,Westlake Theatre Apartments,5141001900,"32,198","Vacant Bldgs, Lots",1
,,,,,5078017901,,,1
3,1047 & 1053 S. Mariposa Ave,Los Angeles,90006,,5078017900,"11,799",Vacant Lot,1
4,5623/5633 Elmer Ave.,North Hollywood,91601,Elmer Court,2337035900,"21,749",Vacant Lot,2
,,,,,2337035901,,,2
5,1816 N. Wilton Place,Los Angeles,90068,Gay & Lesbian Comm. Group Home,5544002900,"7,349",Vacant SF Home,4
6,13574 W. Foothill Blvd.,Sylmar,91342,Foothill Blvd Site,2513006900,"53,489",Vacant Lot,7
7,11681 W. Foothill Blvd.,Sylmar,91342,Lakeview Manor,2530008901,"126,902",Vacant Lot,7
8,12568 N. San Fernando Road,Sylmar,91342,Ralston-Polk Site,2506034903,"12,065",Vacant Lot,7
9,1636  W. Manchester Avenue,Los Angeles,90047,Manchester Ave Site,6037001900,"19,502",Vacant Lot,8
10,5888 - 5910 Crocker Street & 5887 - 5879 Crocker Street,Los Angeles,90003,Crocker Street Site,6006029900,"36,377",Vacant Lot,9
,,,,,6006029901,,,9
,,,,,6006030901,,,9
,,,,,6006030902,,,9
11,6901 S. Main Street,Los Angeles,90003,Main Street Site,6012009902,"5,569",Vacant Lot,9
,6905 S. Main Street,Los Angeles,90003,Main Street Site,6012009901,"5,593",,9
,6909 S. Main Street,Los Angeles,90003,Main Street Site,6012009904,"5,592",,9
,6915 S. Main Street,Los Angeles,90003,Main Street Site,6012009903,"2,500",,9
12,206 E. Washington Blvd ,Los Angeles,90011; 90015,Washington/Santee (aka La Opinion),5127029902,"49,521",Vacant Lot/Bldg,9
,,,,,5127029903,,,9
,,,,,5127029904,,,9
13,2600 Hoover Street,Los Angeles,90007,Casa De Rosas ,5123001900,"39,578",Vacant Bldg,9
14,5215 S Figueroa & 5260 S Figueroa Street ,Los Angeles,90037,Figueroa Street Site,5001029900,"46,322",Vacant Lot,9
,,,,,5001029901,,,0
,,,,,5001034900,,,0
15,1808 S. St. Andrews Place,Los Angeles,90019,G.L.A.S.S. (St Andrews House),5073014900,"8,913",Vacant SF Home,10
16,2444-2450 Crenshaw Blvd.,Los Angeles,90018,Nikki Property Site,5059004900,"16,365",Vacant Lot,10
17,2375 W. Washington Blvd,Los Angeles,"90018
90019",Washington Blvd Site,5046004900,"40,964",Vacant Lot,10
,,,,,5046004902,,,10
,,,,,5046004901,,,10
18,4314 W. Adams Blvd,Los Angeles,90018,Adams Blvd Site,5051005901,"15,209",Vacant Lot,10
,,,,,5051005902,,,10
19,8431 Geyser Avenue,Northridge,91324,The Geyser House,2785013900,"10,620",Vacant SF Home,12
20,252 S. Rampart Blvd.,Los Angeles,90057,Rampart Site,5155025900,"7,000",Vacant SF Home,13
21,3551 E. 4th Street,Los Angeles,90063,The Chavez House,5179014900,"6,006",Vacant Duplex,14
