PropertyID,OccupancyType,Building,Address,City,State,Zip,Contact,ContactTel,RevisedDate,LastCarrier,InspectionDate,BRepCostNew,BSquareFoot,CRepCostNew,ParkSquareFoot,ParkSubStructure,ValuationDate,WallType,Heating,Cooling,RoofMaterial,Passenger,Freight,CommerciallyInsured,FEMAGrant,FEMARef,GrantDateRec,FEMAAmt,PropertySold,SoldDate,PropertyActive,ActiveDate,InactiveDate,MICLA,MICLADate,YearBuilt,StoriesNo,BuildingSF,ParkingSF,MFireAlarm,AFireAlarm,Sprinkler,Fully,Partial,EntryAlarm,ProtectionClass,Notes,UserID,InputDate,LossControlReport,AppraisalReport
P00080,Pump Station,Pump Station 668,100 Henry Ford Ave,Wilmington,CA,90744,BJ Fulkerson,213-485-5849,3/12/14 0:00,XL American,3/1/14 0:00,921835,0,0,0,0,3/1/14 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1929,1,491,0,N,N,N,N,NULL,N,NULL,Property - Xl American   ,sbiggs,7/10/14 15:40,N,N
P00005,Office Bldg,Caltrans Building,100 N. Main Street,Los Angeles,CA,90012,David Paschal,213-928-9517,5/15/15 0:00,XL American,3/1/15 0:00,10714080,106,7913902,106,0,3/1/15 0:00,Metal / Steel Frame,Y,Y,NULL,Y,Y,Y,N,NULL,NULL,0,U,NULL,Y,1/1/05 0:00,NULL,N,NULL,2005,3,98486,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American            ,sbiggs,5/15/15 14:00,N,N
P00127,Police Station,Police Administration Bldg,100 W. 1st. Street,Los Angeles,CA,90012,BJ Fulkerson,2134855849,3/12/15 0:00,XL American,3/1/15 0:00,265693272,516,0,516,0,3/1/15 0:00,Metal / Steel Frame,Y,Y,NULL,Y,Y,T,N,NULL,NULL,0,NULL,NULL,Y,1/1/09 0:00,NULL,N,NULL,2009,5,500000,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American               ,sbiggs,6/24/15 14:38,N,N
P00277,Fire Station,Fire Station 95,10010 International Rd,Los Angeles,CA,90045,Community Liaison Officer,8183521504,11/30/11 0:00,NULL,11/30/11 0:00,1396424,152,0,152,0,11/30/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,2/27/59 0:00,NULL,N,NULL,1959,1,9187,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,2/15/13 13:45,N,N
P00169,Fire Station,Fire Station 36,1005 N. Gaffey Street,San Pedro,CA,90732,Community Liaison Officer,2139783810,1/7/11 0:00,NULL,NULL,1064000,152,0,152,0,1/7/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,7/8/07 0:00,NULL,N,NULL,2007,2,7000,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 12:43,N,N
P00289,Library,John Muir Branch Library,1005 W. 64th Street,Los Angeles,CA,90044,Cherly Collins,3105487785,2/1/12 0:00,NULL,2/1/12 0:00,1798820,212,0,212,0,2/1/12 0:00,Concrete,Y,Y,NULL,Y,U,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/97 0:00,NULL,N,NULL,1930/1997,2,8485,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,1/17/13 15:00,N,N
P00280,Parking Garage,Aiso Street Parking Garage,101 N. Judge John Aiso,Los Angeles,CA,NULL,Benjamin Setiarto,2139780728,3/12/15 0:00,XL American,3/1/15 0:00,0,0,0,157,21634200,3/1/14 0:00,Concrete Block,N,N,NULL,Y,N,Y,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,2011,2,0,128636,Y,Y,Y,Y,NULL,Y,NULL,"Property - Xl American       2-level underground parking garage, 300 parking spaces       ",sbiggs,6/24/15 15:39,N,N
P00231,Other,Echo Park Child Development Center,1010 Douglas Street,Los Angeles,CA,90026,Chris Rajapakse,8183521504,8/3/11 0:00,NULL,8/2/11 0:00,314000,157,0,157,0,8/3/11 0:00,Frame,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,N,NULL,8/2/11 0:00,N,NULL,1950,2,2000,0,N,N,N,N,NULL,N,NULL,  Per CDD the Foundation for Early Childhood Education has vacated this child care facility due to a loss of funding.    ,sbiggs,2/14/13 15:18,N,N
P00061,Pump Station,Pump Station 625,10110 Baywood Ct.,Sherman Oaks,CA,90077,Dan Eason,213-978-7227,7/16/10 0:00,XL American,3/1/10 0:00,210080,0,0,0,0,3/1/10 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,N,NULL,NULL,N,NULL,1977,1,0,0,N,N,N,N,NULL,N,NULL,"Pump Station Inactive per   March 27, 2009 email from the   Department of Sanitation.      ",sbiggs,7/10/14 15:30,N,N
P00265,Fire Station,Fire Station 87,10124 Balboa Blvd,North Hills,CA,91343,Community Liaison Officer,2139783810,11/4/11 0:00,NULL,NULL,3687520,152,0,152,0,11/4/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,11/11/07 0:00,NULL,N,NULL,2007,2,24260,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 13:42,N,N
