row,Non Profit,Address,CD #,Lease Start,Lease Exp.,Lease Term,Dept,Status,Condition per Construction Div Project Scope,Street Number,Street Name,Zip Code,Notes,,,,,,,,,,,,,,,,,
65,African Americans Firefighter's Museum,"1409 W. Vernon, L.A. 90062",8,8/1/1980,7/31/1981,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",1409,Vernon,90062,,,,,,,,,,,,,,,,,,
1,Aliso Pico Center,"1505 E. 1st., L.A. 90033",14,1/1/1982,12/31/1984,,EWDD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit, Historic Restoration",1505,1,90033,,,,,,,,,,,,,,,,,,
20,Hoover Intergenerational Child Care Proj.,"3216 S. Hoover St., L.A. 90007",8,,1/12/1985,,HCID,,No recent inspection,3216,Hoover,90007,,,,,,,,,,,,,,,,,,
99,Watts Chamber of Commerce,"1513 E. 103rd St., L.A.",15,,6/30/1986,,GSD,,No recent inspection,1513,103,90002,,,,,,,,,,,,,,,,,,
24,L.A.Child Care&Dev. Council/Jardin de Ninos,"2418-2422 Manitou Ave., L.A. 90031",1,,3/31/1987,,HCID,,"Tenant Improvements, ADA Compliance",2418,Manitou,90031,,,,,,,,,,,,,,,,,,
34,Seinan Senior Citizens' Club,"3116 W. Jefferson Blvd., L.A. 90018",8,,5/17/1987,,HCID,,"Tenant Improvements, ADA Compliance",3116,Jefferson,90018,,,,,,,,,,,,,,,,,,
2,Arroyo Vista Family Health Foundation,"6000 N. Figueroa St., L.A.90042",14,6/21/1981,6/30/1987,,HCID,,No recent inspection,6000,Figueroa,90042,,,,,,,,,,,,,,,,,,
95,Low Income&Elderly United Comm. Assistance,"641 Westminster., Venice, 90291",11,,12/31/1987,,HCID?,,No recent inspection,641,Westminster,90291,,,,,,,,,,,,,,,,,,
40,Watts Labor Community Action Committee,"1212 E. 108th St., L.A. 90059",15,2/22/1990,2/21/1990,,GSD,,No recent inspection,1212,108,90059,,,,,,,,,,,,,,,,,,
12,"Early Learning Center, Inc.","233 N. Breed St., L.A. 90033",14,,3/31/1990,,CDD/GSD,,"Tenant Improvements, ADA Compliance",233,Breed,90033,,,,,,,,,,,,,,,,,,
15,Echo Park-Silverlake People's Child Care,"1953 Lake Shore Ave., L.A. 90039",13,7/1/1985,12/31/1990,,HCID,,"Tenant Improvements, ADA Compliance, Retaining Wall",1953,Lake Shore,90039,,,,,,,,,,,,,,,,,,
66,Canoga Park Chamber of Commerce,"7248-50 Owensmouth Ave., Canoga Park, 91303",3,1/1/1985,6/30/1991,,GSD,,"Tenant Improvements, ADA Compliance",7248,Owensmouth,91303,,,,,,,,,,,,,,,,,,
92,Canoga Park Chamber of Commerce&Care Cen.,"72-7248 Owensmouth Ave., Canoga Park, 91303",3,1/1/1985,6/30/1991,,GSD,,No recent inspection,72,Owensmouth,91303,,,,,,,,,,,,,,,,,,
6,"Childhelp, Inc.","1345 El Centro Ave., Hollywood 90028",13,3/7/1989,3/6/1992,,HCID,,No recent inspection,1345,El Centro,90028,,,,,,,,,,,,,,,,,,
28,Mini Twelve Step House,"11143 Missouri Ave., L.A. 90005",5,,6/30/1992,,HCID,,Tenant Improvements,11143,Missouri,90005,,,,,,,,,,,,,,,,,,
16,Estelle Van Meter Multi-Purpose Center,"606 E. 76th., L.A. 90001",9,,9/8/1992,,HCID,,Tenant Improvements,606,76,90001,,,,,,,,,,,,,,,,,,
25,L.A.Child Care&Dev. Council/Placita de Ninos,"2661 Pasadena Ave., L.A. 90031",1,,3/30/1993,,HCID,,"Tenant Improvements, ADA Compliance",2661,Pasadena,90031,,,,,,,,,,,,,,,,,,
93,Stentorians & Gwen Bolden Youth Center,"4304 Degnan Blvd., L.A.",8,,12/31/1993,,GSD,,"Tenant Improvements, ADA Compliance",4304,Degnan,90008,,,,,,,,,,,,,,,,,,
32,People's Coordinated Services of So. Cal.,"5133 Crenshaw Blvd., L.A. 90043",8,1/8/1992,12/12/1994,,HCID,,"Tenant Improvements, ADA Compliance",5133,Crenshaw,90043,,,,,,,,,,,,,,,,,,
39,Wilmington Senior Citizens' Multipurpose Cen.,"1148 N. Avalon Blvd., Wilmington 90744",15,7/1/1987,12/31/1994,,GSD,,Tenant Improvements,1148,Avalon,90744,,,,,,,,,,,,,,,,,,
17,Foundation for Early Childhood Education,"707 E. Kensington Blvd., L.A. 90026",1,7/1/1989,12/31/1994,,HCID,ground lease,Tenant Improvements,707,Kensington,90026,,,,,,,,,,,,,,,,,,
13,E. Los Angeles Retarded Citizen's Assoc.,"3839 Selig Place., L.A. 90031",1,10/25/1991,12/31/1994,,HCID,,HVAC Replacement,3839,Selig,90031,,,,,,,,,,,,,,,,,,
26,"Los Angeles Conservation Corps, Inc.","1839 S. Hoover St., L.A. 90015",1,,12/31/1994,,GSD,,No recent inspection,1839,Hoover,90015,,,,,,,,,,,,,,,,,,
5,"Career Planning Center, Inc.","1623 La Cienega Blvd., L.A. 90035",5,,9/12/1999,,HCID?,,"Tenant Improvements, ADA Compliance",1623,La Cienega,90035,,,,,,,,,,,,,,,,,,
69,L. A Police Revolver & Athletic Club,"1880 N. Academy Dr., L.A.",1,8/22/1935,8/31/2000,,GSD,,ADA Compliance,1880,Academy,90012,,,,,,,,,,,,,,,,,,
22,Kulick Building,"1501 E. 103rd St., L.A. 90002",15,,12/31/2000,,GSD,,No recent inspection,1501,103,90002,,,,,,,,,,,,,,,,,,
53,African Firefighter's in Benevolent Assoc.,"5730 S. Crenshaw Blvd., L.A. 90043",8,5/1/1993,4/20/2001,Mo to Mo,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",5730,Crenshaw,90043,,,,,,,,,,,,,,,,,,
50,Fraternal Order of Eagles,"1956 Yosemite Dr., L.A. 90041",14,,12/5/2001,,Cultural Affairs,,No recent inspection,1956,Yosemite,90041,,,,,,,,,,,,,,,,,,
7,"The Children's Collective, Inc.","3817 S. San Pedro St., L.A. 90007",9,1/19/1989,3/31/2002,Exten. Amend. In Process,HCID,,Tenant Improvements,3817,San Pedro,90007,,,,,,,,,,,,,,,,,,
57,Hollywood Beautification Team,"1718 N. Cherokee Ave. Space D, L.A. 90028",13,4/1/1999,3/31/2002,,GSD,,Tenant Improvements,1718,Cherokee,90028,,,,,,,,,,,,,,,,,,
68,Strategic Concepts of Organizing & Policy Educ.,"1715 W. Florence Ave., L.A.",8,2/22/2001,3/31/2002,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",1715,Florence,90047,,,,,,,,,,,,,,,,,,
42,Robert Pitts Center,"1827 E. 103rd St., L.A. 90002",15,lease in process,9/30/2002,,HCID,,No recent inspection,1827,103,90002,,,,,,,,,,,,,,,,,,
3,Boys and Girls Club-San Fernando,"11243 Glenoaks Blvd., Pacoima 91331",7,,10/5/2002,,HCID,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",11243,Glenoaks,91331,,,,,,,,,,,,,,,,,,
