row	Park Property	Sub-Park Name	Address	City	Zip	Rgn.	CD 1	CD 2	CD 3	Acreage	Sub Acreage	Board Report #	Acquisition Date	Thomas Guide	Former/Alternate Name	APN	Comments	Part ofÌä
1	1ST AND BROADWAY CIVIC CENTER PARK		217 W. 1ST STREET			   M	14			1.96				634 F-3, G-3				
2	6TH & GLADYS STREET PARK		824 E. 6TH ST.			M	14			0.34				634-G5		5147-029-901		
3	11th AVENUE PARK                         (unofficial name) 		6116 11TH AVENUE			P	8			0.27				673-F6				
4	49TH STREET POCKET PARK		670 E. 49TH ST.			P	9			0.19				674-D4				
5	61ST STREET POCKET PARK		139-141 E. 61ST STREET.			P	9			0.12				674-C6				
6	76TH STREET POCKET PARK 		833 W. 76TH ST.			P	8			0.13				704-B4				
7	97TH STREET POCKET PARK 		554 W. 97TH ST.			P	8			0.13				704-B4				
8	98TH STREET PARK		AVALON BLVD & WADSWORTH AVE.			P	8			5.35								
9	105TH STREET POCKET PARK		609 W. 105TH ST.			P	8			0.11				704-B5				
10	109TH STREET RECREATION CENTER		1464 E. 109TH ST.			P	15			3.17				704-F6		6070-004-900		
11	111TH PLACE POCKET PARK		207 E. 111TH PL.			P	8			0.09				704-D6				
12	1171-1177 MADISON AVENUE  (E. HOLLYWOOD PUBLIC GARDEN)		1171-1177 MADISON AVE. 			M	13			0.56				594-A5				
13	4600 ORCHARD AVENUE POCKET PARK		4600 ORCHARD AVE.			P	9			0.14				674-B-4				
14	4916 SOUTH MCKINLEY AVENUE POCKET PARK		4916 AND 4916 1/2 S. MCKINLEY AVE.			P	9			0.11				674-E4				
15	ALBION RIVERSIDE PARK		1739 ALBION ST.			M	1			6				634-J1				
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2870-010-901 		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-033-904		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-033-903		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-033-902		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-033-901		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-033-900		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-034-907		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-034-906		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-034-905 		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2601-034-904		Part of Porter Ranch
16	ALISO CANYON PARK		18041 RINALDI ST.			V	12			60.45				480-J7		2870-009-901 		Part of Porter Ranch
17	ALISO CREEK						3			1.8								
18	ALISO TRIANGLE		1304 PLEASANT AVE.			M	14			0.04				634-J3		5174-015-900		
19	ALISO-PICO RECREATION CENTER		370 S. CLARENCE ST.			M	14			0.23				634-J4		5172-021-900		
20	ALIZONDO DRIVE PARK		22103 ALIZONDO DR.			V	3			6.65				560-A5		2173-015-900		
20	ALIZONDO DRIVE PARK		22103 ALIZONDO DR.			V	3			6.65				560-A5		2173-015-901		
21	ALMA PARK		W. 21ST & MEYLER STS.			P	15			2.26				824-A7		7462-026-900		
22	ALPINE RECREATION CENTER		817 YALE ST.			M	1			1.94				634-G2		5407-021-902		
23	ALVARADO TERRACE PARK		1342 S. ALVARADO TERRACE			M	1			0.91				634-B5		5135-004-900		
24	AMISTAD POCKET PARK                              (formerly KAGEL POCKET PARK)		13116 W. KAGEL CANYON ST.			V	7			0.14				502-D4				
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-900		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-901		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-902		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-903		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-904		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-905		
25	AMOROSO TRIANGLE		AMOROSO PL. BTWN. OAKWOOD/SHELL AVES.			P	11			0.03				671-J5		4241-028-906		
26	ANDERSON MEMORIAL SENIOR CITIZEN CENTER		828 S. MESA ST.			P	15			1.62				824-C5		7455-010-903		
27	ANDRES PICO ADOBE		10940 N. SEPULVEDA BLVD.			V	7			2.2				501-H2		2615-001-900		
28	ANGELES MESA PARK		4726 8TH AVE.			P	8			0.15				673-F4		5014-011-900		
29	ANGELS GATE PARK		3601 S. GAFFEY ST.			P	15			70.44				854-B2		7469-018-904		
29	ANGELS GATE PARK		3601 S. GAFFEY ST.			P	15			70.44				854-B2		7469-018-902		
29	ANGELS GATE PARK		3601 S. GAFFEY ST.			P	15			70.44				854-B2		7469-018-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5493-038-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5493-038- 270		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5493-037-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5311-001-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5312-001-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5312-006-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5312-007-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5301-001-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5301-002-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5301-002-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-006-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-001-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-002-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-002-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-031-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-025-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-018-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-019-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-020-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-021-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5305-001-910		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-022-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-023-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-024-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-015-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-015-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-016-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-017-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-018-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-019-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-020-905		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-021-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-022-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-025-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-023-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-010-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-011-900		
31	* Sub-Park (Arroyo Seco Park)	SAN PASQUAL PARK	934 N. SAN PASCUAL AVE.			M	14				13.36			595-D3				
32	* Sub-Park (Arroyo Seco Park)	HERMON DOG PARK	5566 VIA MARISOL			M	14				2.21			595-D3				
33	* Sub-Park (Arroyo Seco Park)	HERMON PARK	5566 VIA MARISOL			M	14				22.43			595-D3				
