OBJECTID *,Shape *,AIN,APN,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,RecDate,RecDocNo,OwnerName,SpecialName,MailStreet,MailAddress,MailCity,MailZip,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,Assr_Map,Assr_Index_Map,APN,A_ComRedevAg,B_DWP,C_GSDSurplus,D_CAO_Interim,E_PublicWorks,F_Surplus_Consol,G_Nona,H_Wilmington,Shape_Length,Shape_Area
1,Polygon,7315033273,7315-033-273,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,310297,0,0,0,0,1982,1982,0,7315-033,7315-NDX,7315033273,0,1,0,0,0,0,0,0,2569.510989,154314.3501
2,Polygon,7075002273,7075-002-273,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19690218,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,11917,0,0,0,0,1978,1978,0,7075-002,7075-NDX,7075002273,0,1,0,0,0,0,0,0,3312.234027,154987.025
3,Polygon,7075002275,7075-002-275,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19850826,981119,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,111677,0,0,0,0,1986,1986,0,7075-002,7075-NDX,7075002275,0,1,0,0,0,0,0,0,1463.83514,62858.97765
4,Polygon,7075001901,7075-001-901,243960,Long Beach City Park,Long Beach,8800,88,Government,Government Parcel,19890522,<Null>,LOS ANGELES CITY,C/O DEPT OF WATER AND POWER,PO BOX 111, PO BOX 111,LOS ANGELES CA,90051,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7075-001,7075-NDX,7075001901,0,1,0,0,0,0,0,0,2626.996523,218510.4007
5,Polygon,7332004270,7332-004-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,49939,0,0,0,0,1978,1978,0,7332-004,7332-NDX,7332004270,0,1,0,0,0,0,0,0,557.531714,19051.77771
6,Polygon,7332016271,7332-016-271,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,51074,0,0,0,0,1978,1978,0,7332-016,7332-NDX,7332016271,0,1,0,0,0,0,0,0,590.029197,21602.51544
7,Polygon,7404034900,7404-034-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19690000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7404-034,7404-NDX,7404034900,0,1,0,0,0,0,0,0,2102.184752,132553.8609
8,Polygon,7423025029,7423-025-029,0,<Null>,<Null>,050X,5,Residential,Five or more apartments,20130827,1255617,"MANN,MILDRED M", ,168TH ST,4758 W 168TH ST,LAWNDALE CA,90260-3103,2013,18491,156,0,0,0,1975,1975,19720503,7423-025,7423-NDX,7423025029,0,0,0,0,0,0,1,0,347.334113,5926.2985
9,Polygon,7336006271,7336-006-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,4023,0,0,0,0,1978,1978,0,7336-006,7336-NDX,7336006271,0,1,0,0,0,0,0,0,974.095707,24057.65757
10,Polygon,7336006901,7336-006-901,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670626,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7336-006,7336-NDX,7336006901,0,1,0,0,0,0,0,0,873.638472,19336.35168
