Lot #,Council District,Address,Community,Zip Code,Operator,Rate,Monthly Rate,Hours of Operation,Hours of Operation,Total Spaces,Structure Type,Size,Type,Lat/Long
601,6,14401 Friar St,Van Nuys,91401_2125,GSD,$0.45 / 15 Min,7.2,72,5:30 AM-7 PM M-F,237,Structure,44130,Operated Facilities,
609,6,14521 Friar St,Van Nuys,91411_2319,GSD,$0.55 / 30 Min_,$5.00 _,49.5,8 AM-5 PM M-Sat,76,Surface Lot,29700,Operated Facilities,
610,6,14532 Gilmore St,Van Nuys,91411_1602,GSD,$0.55 / 30 Min_,$5.00 _,38.5,8 AM-5 PM M-F,138,Surface Lot,50750,Operated Facilities,
620,6,14607 Sylvan St,Van Nuys,91411_2327,GSD,$0.55 / 30 Min_,$5.00 _,38.5,8 AM-5 PM M-F,57,Surface Lot,24000,Operated Facilities,
629,4,14591 Dickens St,Sherman Oaks,91403_3765,ABM,$0.60 / 20 Min_,6,60,7 AM-11:00 PM Daily,198,Structure,47800,Operated Facilities,
630,6,14517 Erwin St,Van Nuys,91411_2341,GSD,$0.55 / 30 Min_,$5.00 _,49.5,7 AM-5:30 PM M-F,75,Surface Lot,28000,Operated Facilities,
631,6,14402 Gilmore St,Van Nuys,91401_1429,GSD,$0.55 / 30 Min_,$5.00 _,38.5,8 AM-5 PM M-F,68,Surface Lot,30000,Operated Facilities,
649,13,1533 N Schrader Blvd,Hollywood,90028_7203,MPI,$9.00 Flat _,9,$125.00 _,see below _,55,Surface Lot,21430,Operated Facilities,
670,13,1710 N Cherokee Ave,Hollywood,90028_4818,MPI,$2.00 / 15 Min_,16,144,24 Hrs Daily,386,Structure,49400,Operated Facilities,
680,5,1036 Broxton Ave,Westwood,90024_2824,GSD,$1.50 / 20 Min_,$9.00 _,125,see below _,366,Structure,29070,Operated Facilities,
690,2,12225 Ventura Blvd,Studio City,91604_2519,ABM,see below _,6,47.5,see below _,393,Structure,41860,Operated Facilities,
691,10,682 S Vermont Ave,Wilshire Center,90005_1348,ABM,$1.00 / 20 Min_,$5.00 _,$60.00 __,8 AM-6 PM M-F,65,Surface Lot,24600,Operated Facilities,
701,11,2150 Dell Ave,Venice,90291_4526,MPI,see below _,see below _,$15.00 _,see below _,150,Surface Lot,78270,Operated Facilities,
702,13,1627 N Vine St,Hollywood,90028_8802,MPI,$2.00 / 15 Min_,$13.00  _,$100.00 _,24 Hrs Daily,457,Structure,41540,Operated Facilities,
703,5,123 S Robertson Blvd,Carthay,90048_3207,MPI,see below _,12,150,6 AM-11:30 PM Daily,334,Structure,23620,Operated Facilities,
731,11,200 N Venice Blvd,Venice,90291,MPI,see below _,see below _,$55.00 _,see below __,177,Surface Lot,132000,Operated Facilities,
732,4,218 N Larchmont Blvd,Hancock Park,90004_3707,ABM,$0.75 / 30 Min_,6,65,see below _,167,Structure,19200,Operated Facilities,
740,11,301 S Main St,Venice,90291_2523,MPI-Pay Sta,see below _,see below _,--,see below _,41,Surface Lot,12770,Operated Facilities,
742,13,1637 N Wilcox Ave,Hollywood,90028_6205,MPI,see below _,10,90,8 AM-12:30 AM Daily,149,Surface Lot,45790,Operated Facilities,
745,13,6801 Hollywood Blvd,Hollywood,90028_6101,SP+,$1.00 / 15 Min_,15,$125.00 _,9 AM-2 AM Daily,3021,Structure,216100,Operated Facilities,
752,6,6265 Sylmar Ave,Van Nuys,91401,GSD,$1.00 / 30 Min,8,75,see below _,302,Structure,38810,Operated Facilities,
758,14,636 Maple Ave,Downtown,90014_2212,PCI,$3.00 Flat,3,100,see below _,140,Structure,below _,Operated Facilities,
763,14,101 N Judge John Aiso St,Little Tokyo,90012,ABM,see below _,$14.00 _,90,see below _,300,Structure,56000,Operated Facilities,
602,2,11320 Chandler Blvd,North Hollywood,91601_3130,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,47,Surface Lot,17600,Automated Facilities With Pay Stations,
614,4,728 S Cochran Ave,Miracle Mile,90036_3813,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,$30.00 _,7 AM-9 PM Daily _,41,Surface Lot,13950,Automated Facilities With Pay Stations,
619,4,1451 N Gardner St,Hollywood,90046_4101,Pay Station,$0.25 / 20 Min,$1.50 / 2 Hrs,--,7 AM-Midnight Daily,22,Surface Lot,12760,Automated Facilities With Pay Stations,
625,10,3416 W 43rd St,Leimert Park,90008_4906,Pay Station,$0.25 / 30 Min,2.5,25,7 AM-9 PM Daily _,172,Surface Lot,69260,Automated Facilities With Pay Stations,
626,10,3328 W 43rd St,Leimert Park,90008_4570,Pay Station,$0.25 / 30 Min,2.5,25,7 AM-9 PM Daily _,105,Surface Lot,49360,Automated Facilities With Pay Stations,
627,2,11231 Magnolia Blvd,North Hollywood,91601_3703,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,47,Surface Lot,20040,Automated Facilities With Pay Stations,
628,1,2418 Daly St,Lincoln Heights,90031_2221,Pay Station,$0.25 / 30 Min,$1.00 / 2 Hrs,,7 AM-9 PM Daily,28,Surface Lot,10200,Automated Facilities With Pay Stations,
642,5,1421 S Wooster St,Crestview,90035_3406,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,50,Structure,14800,Automated Facilities With Pay Stations,
643,13,1147 Echo Park Ave,Echo Park,90026_4212,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,43,Surface Lot,15000,Automated Facilities With Pay Stations,
645,11,1540 Purdue Ave,West LA,90025_3105,Pay Station,$1.00 / Hr,$4.00 / 4 Hrs,50,7 AM-9 PM Daily,37,Surface Lot,14000,Automated Facilities With Pay Stations,
651,11,1516 Barry Ave,West LA,90025_2904,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-9 PM Daily,20,Surface Lot,7000,Automated Facilities With Pay Stations,
652,11,1530 Butler Ave,West LA,90025_3002,Pay Station,$1.00 / Hr,$4.00 / 4 Hrs,--,7 AM-9 PM Daily,43,Surface Lot,14850,Automated Facilities With Pay Stations,
653,11,1547 Corinth Ave,West LA,90025_3201,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,50,7 AM-9 PM Daily,38,Surface Lot,14000,Automated Facilities With Pay Stations,
654,11,1611 Beloit Ave,West LA,90025_3106,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-9 PM Daily,20,Surface Lot,7000,Automated Facilities With Pay Stations,
655,11,11312 Idaho Ave,West LA,90025_3108,Pay Station,$1.00 / Hr,$4.00 / 4 Hrs,--,7 AM-9 PM Daily _,17,Surface Lot,9630,Automated Facilities With Pay Stations,
656,11,1615 Colby Ave,West LA,90025_3013,Pay Station,$1.00 / Hr,$4.00 / 4 Hrs,--,7 AM-9 PM Daily,34,Surface Lot,12320,Automated Facilities With Pay Stations,
658,1,216 Avenue 24,Lincoln Heights,90031_2210,Pay Station,$0.25 / 30 Min,$1.00 / 2 Hrs,,7 AM-9 PM Daily,59,Surface Lot,19800,Automated Facilities With Pay Stations,
659,1,2334 Daly St,Lincoln Heights,90031_2263,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,79,Surface Lot,37200,Automated Facilities With Pay Stations,
660,1,154 Avenue 24,Lincoln Heights,90031_2256,Pay Station,$0.25 / 30 Min,2.5,,7 AM-9 PM Daily,51,Surface Lot,18980,Automated Facilities With Pay Stations,
662,13,1152 Lemoyne St,Echo Park,90026_3207,Pay Station,$0.25 / 30 Min,2.5,30,7 AM-9 PM X/Sun,82,Surface Lot,26750,Automated Facilities With Pay Stations,
663,13,1146 Logan St,Echo Park,90026_3211,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,38,Surface Lot,14000,Automated Facilities With Pay Stations,
