Street #,Street Name,City & ZIP,Building Name,CD,Date of Request,Work Requested,Requested by:,To: CFD,CFD Estimate,Cost,COMPLETED,Date Re-visited,Comments / Notes,"1 = complete 2 = pending 3 = completed;no final cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8100,Vermont,LA 90044,vacant lot - Vermont Miracle Park,8,,"weed,fence, trash,sign",,,,"$6,126.89",07/14/14,,"COMPLETED - 7/17/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Coldwater Canyon,Studio City 91604,FS 78,2,6/18/14,"trash, board-up, sign, secure gate",,,,"$6,232.20",07/16/14,9/23/14,"COMPLETED - 7/16/14CFD cost rpt 12/2/14CFD cost rpt 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,California Ave,Venice  90291,Vera Davis Ctr,11,7/16/14,Weed Abatement/Trash Removal,,,,"$4,357.16",07/24/14,,COMPLETED - 7/24/14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,103rd St,LA 90002,vacant lot,15,7/1/14,"Weed, trash removal",CD 15,,,"$2,807.15",07/30/14,,"COMPLETED - 7/30/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Venice Blvd,Venice  90291,vacant lot,11,7/17/14,"Remove homeless, debris and property, signage",,,,"$6,819.02",08/05/14,,COMPLETED - 8/5/14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Balboa Blvd,Encino 91316,FS 83,5,9/30/14,"fence, board-up, possible  interior asbestos removal, graffitti, weed, trash",City Atty Raffy Astvasadoorian,10/6/14,"3,410.00","$3,733.97",08/07/14,10/2/14,"$3,410 estimatefor fence and board-up only. Rec'd 10/7/14CFD cost rpt 11/4/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Balboa Blvd,Encino 91316,FS 83,5,7/21/14,"Secure Windows, board-ups",City Atty Raffy Astvasadoorian,,,$987.26,08/07/14,9/30/14,"COMPLETED - 8/7/14CFD rpt 11/4/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Mount Holyoke,LA 90272,street intersection,11,7/16/14,"Fix broken gate, fencing",,,,"$2,126.26",08/07/14,,"COMPLETED - 8/7/14CFD rpt 12/31/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970-1010,Jefferson Blvd,LA 90011,Paul Williams / Angelus Funeral,9,8/11/14,"graffiti, weed,fencing, trash removal, board-up, signs",,,,"$12,085.34",08/14/14,,"COMPLETED - 8/14/14cost came from Rose 9/29/14 rptcost came from 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4255,Olive St,LA 90037,old Junipero Serra Library,9,8/11/14,"graffiti, weed, trash,sign, board-ups",,,,"$9,879.96",08/14/14,12/3/14,"COMPLETED 8/14/14cost came from CFD 12/31/14 rpt12/2/14 - DP confirmed completion",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Carondolet,LA 90006,vacant lot,1,7/4/14,"Remove homeless, weeds, fencing, trash, signage",,,,"$14,200.42",08/17/14,,"COMPLETED - 8/17/14CFD cost report 12/31/14CFD cost report 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Manchester,Westchester 90045,FS 5,11,8/11/14,"Tree trimming, grafitti, weed, signage, board-up, fence repair, clean-up, ",,,,"$13,089.12",09/24/14,,"Completed - 9/24/14 per David Perka. Cost from Rose 9/29/14 rpt but w/o tree trimming & board-up 10/7/14 - req to ID any work needed for bldg for possible tenant.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Ramirez St,LA 90012,LAPD parking lot,14,"9/3/20149/22/2014","weed,trash ",,,,"$1,372.87",09/29/14,10/21/14,"COMPLETED 9/29/14CFD rpt 11/4/1410/22/14 - responded to Peter's email to revisit in Nov.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Vermont,,FS 13,1,4/21/14,Interior/Exterior Cleanup and Securing premises,,,,"$5,784.65",09/29/14,,"COMPLETEDcost came from Rose 9/29/14 rpt",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5965,St Andrew Place,LA 90047," APN 6001-013-906old temp site for 77th PD",8,10/15/13,Overgrown vegetation removal,,,,$292.88,10/02/14,,"CFD rpt 11/4/14 - labor only1/12/15 - completed per PICFD rpt 1/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,Cahuenga,NH 91601,,4,none,Re-Visit inspection,n/a,,,$104.22,10/09/14,,Cost from 10/9/2014;12/31/14  rpt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,103rd St,LA 90002,FS 65,15,7/29/14,"weed, trash, fencing, ",,,,"$4,470.24",10/14/14,9/4/14,"COMPLETED - 7/30/14",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,103rd St,LA 90002,vacant lot,15,9/22/14,"install fence, install sign; clear trash.",CD 15,,"3,675.00","$2,986.98",10/14/14,,"9/24/14 - estimate recdCOMPLETED - 10/10/14 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12560,San Fernando Rd,Sylmar 91342,APN 2506-034-900 ,7,10/7/13,"sign, homeless removal, clean-up",,,,$223.39,10/23/14,,"CFD rpt 11/4/14 - labor only
1/12/15 - completed per PI
CFD rpt - 1/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,11th Ave,LA 90018,SLA Animal Shelter,10,9/7/14,"board-up, sign, dumping, repair roll-up garage door",Dept. of Animal Services,,$353.98 - invoice garage door repair only,"$2,665.50",10/26/14,,"9/25/14 - roll up garage door repair finished per Mark.10/26/14 - signage installed",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11950,Missouri Avenue,LA 90025,WLA Animal Shelter,11,9/22/14,"sign, fence repair, 2 trees trimming, 1 tree to be removed. No squatters present.",Dept. of Animal Services,,"18,783.00","$13,526.18",11/03/14, ,"9/25/14 - estimate recdCost rpt 11/4/14 weed,fence trash only11/17/14 - told David to trim trees only, no tree removal and no sidewalk repair.1/12/15 - completed per PICFD rpt - 1/31/15;  4/30/15; 6/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5975,Western Ave,LA 90047,vacant lot,8,9/4/14,fence,,9/4/14,,$939.29,11/04/14,10/21/14,COMPLETED. CFD rpt 11/4/14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5975,Western Ave,LA 90047,vacant lot,8,10/21/14,"weed, trash,",,10/21/14,"1,045.00","$2,851.71",11/04/14,,COMPLETED. CFD rpt 11/4/14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,81st St,LA 90044,"APN 6032-005-900vacant lot",8,10/3/14,Tree from property is hitting roof of 8110 Vermont Ave.  Tree  removal/trimmed,,,,$342.72,11/06/14,,"CFD rpt 11/4/14 labor only1/12/15 - completed per PI",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Balboa Blvd,Encino 91316,FS 83,5,10/1/14,"re-secure front door, cover hole in roof, additional fencing, re-post asbestos sign.  ",CA Neighborhood Prosecutor Raffy Astvasadoorian,10/2/14,"6,050.00","$1,700.36",11/08/14,,"10/2/14 - Transients have been removing copper water piping & wiring per Peter. 10/2/14 - Estimate received.1/12/15 - completed per PICFD cost report - 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11514,Willowbrook,LA 90059,vacant lot,15,10/28/14,"weed, car & trash removal, auction prep",RES,10/28/14,,$0.00,11/12/14,,"auction clean-upper David Perka email of 110614 - clean will be finished todayCOMPLETED - 11/12/14 CFD rpt 12/2/14; 12/31/14cost of $3,019.37 clean-up paid by auction proceeds",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,Beachwood ,Hollywood 90068,SFR,4,10/21/14,"exterior and interior clean up, access",RES,10/21/14,"5,629.00",$0 01,11/17/14,,"Open house/auction 11/6/14 - bathroom cleaned 11/17/14 - per David Perka, work completed. CFD cost rpt 12/31/14; 1/31/15 2/1/15 - requested front yard cleanup; leaves, weeds CFD cost rport 04/30/15 - $11,053.75 CFD to be reimbursed through sale proceeds.  Notice of completion sent to Acct 05/06/15.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Coldwater Canyon,Studio City 91604,FS 78,2,10/28/14,graffitti removal,CFD,,750.00,$643.38,11/20/14,,"CFD cost report 11/4/14; 1/31/15 1/12/15 - completed per PI",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Isabel st,LA 90065,vacant lot,1,10/28/14,"weed, trash removal, auction prep",RES,10/28/14,,$0.00,12/01/14,,"CFD rpt 12/2/14; 12/31/14; 1/31/15 cost of $798.62 clean-up paid by auctionproceeds",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Jefferson Blvd,LA 90007,vacant lot,8,10/28/14,"weed, trash removal, auction prep",RES,10/28/14,,$0.00,12/01/14,,"CFD rpt 12/2/14; 12/31/14; 1/31/15 cost of $501.65 clean-up paid by auction proceeds",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646-3650 ,Knobhill,Sherman Oaks,vacant lot,4,3/25/14,"weed, fencing, trash cleanup",,,"17,820.00","$13,851.51",12/01/14,,"quote rec'd 10/28 CFD rpt 9/29/14 labor cost only  12/1/14 - per DP completed CFD rpt 12/2/14; 12/31/14; 1/31/15; 04/30/15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Venice way,Venice  90291,vacant lot,11,10/28/14,"weed, trash removal, auction prep",RES,10/28/14,,$0.00,12/01/14,,"Cost of $2,366.53 clean-up paid by auction proceeds",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Manchester,Westchester 90045,FS 5,8,10/22/14,Procedure 5 Asbestos removal study,RES,10/22/14,700.00,"$1,664.94",12/02/14,,"11/5/14 - estimate recd COMPLETED - from CFD rpt 12/2/14; 1/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22345,Malden Avenue,Chatsworth 91304,vacant lot,12,11/20/13,Rodents,,,,$641.80,12/03/14,,"CFD rpt 12/2/14; 12/31/14; 1/31/15 1/12/15 - completed per PI",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,Thatcher,Venice  90292,vacant Street Maintenance yard,11,11/19/14,"secure facility, homeless, fence","_Marsha Jackson, Street Services Investigator",11/20/14,"31,050.00",$630.88,12/09/14,,"CFD rpt 12/2/14 12/9/14 - estimate rec'd CFD rpt 12/31/14 1/12/15 - completed per PI",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Mesa St,San Pedro 90731,Neigh Hsng Service of LA,15,2/12/14,"Graffiti, weed, clean-up",,,"12,210.00","$7,828.48",12/15/14,,"quote rec'd 10/30/14  for $12,210  incl trim 6 trees;  JM told CFD do not trim trees. CFD rpt 12/2/14 - labor only 12/2/14 - per DP clean-up started and painting to follow 12/15/14 - per DP work completed. CFD rpt 12/31/14; 1/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Broad Ave,wilmington 90744,vacant lot,15,10/22/14,"signage, homeless removal, weed, fence","Gabriela Medina, CD 15",10/22/14,"7,068.00","$1,733.50",12/22/14,,"need quote cost for labor only 10/9/14 rpt fence installation scheduled for 12/15/14. fence and clean up finished on 12/22/14 CFD rpt 12/31/14; 1/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970-1010,Jefferson Blvd,LA 90011,Paul Williams/Angelus Funeral Home,9,8/19/14,Fence repair,,,,"$1,591.55",12/31/14,,CFD cost report 12/31/14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22322,Napa,Chatsworth 91304,vacant lot,12,,Rodents,,,,$292.87,01/12/15,,"CFD rpt 11/4/14 - labor only; 1/31/15 1/12/15 - completed per PI; no rodents",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15733,Pacific Coast Hwy,Pacific Palisades 90272,vacant lot,11,7/22/14,Graffiti Removal,,,,$0.00,01/12/15,,"COMPLETED; need cost 1/12/15 - completed per PI; ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3233,Thatcher,,Sanitation,11,,demolish building,"Paul Blausman, Sanitation",,,$630.88,01/12/15,,"1/12/15 - per PI, CFD rec'd work order requesting estimate to demolish building.  Sanitation will seek funding.  Est sent to DOS.   CFD rpt 1/31/15 -labor only",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA 90031,Old Lincoln Heights Jail,1,10/6/14,"secure building, change locks,  24 hr security officer $18K/month , port-a-potty $60/month",RES,,,$0.00,01/30/15,,"10/8/14 - security ordered; 10/9/14 -port-a-potty to be delivered;  Security:  Oct. invoice $14,430.40; Nov invoice $18,332.61; Dec inv $18,474.42; Jan inv $18,709.14 = TOTAL =$69,946.57 PAID THRU RES 3040 ACCT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA 90031,Old Lincoln Heights Jail,1,10/20/14,"Phase 5 study, remove items inside building, remove trash, fire extinguisher, locks, board-up",RES per LAFD citation,11/24/14,"$42,151 for 1st floor asbestos removal only","$68,029.89",01/30/15,,"10/22/14 - rec'd asbestos estimate $42,151. Tony approved work to proceed but Melody needs to figure out funding source.10/23/14 - MM ok work to proceed. asbestos removal tent .finished by 11/11/14.  No access allowed.11/4/14 - asbestos P5 clean-up complete for 1st floor only. Basement NOT done due to no funding of $548,845.12/11/14 - per Peter, fire extinguisher replaced. Board-up will begin when movers are finished.  Per GM Tony, install alarm system then remove security officer.CFD rpt 12/31/14 - $68,029.89ASBESTOS FIRST FLOOR CLEAN-UP COMPLETED1/21/15 - LAFD John Vidovich email saying that fire watch can end when bldg is boarded-up.1/12/15 - in progress per PI",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,"Ozeta Terrace (Ozeta & Clark St)",LA 90069,vacant lot,4,1/12/15,post signs,RES-DR,1/12/15,"2,580.00","$1,131.96",02/02/15,,"1/13/15 - est rec'd2/2/15 - project completed per Peter",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,Roseview Ave,LA 90065,vacant lot,1,12/29/14,Repair or replace fence,"Mel Ilomin, CD 1",12/29/14,"2,155.00","$2,916.20",02/02/15,,"1/12/15 - in progress per PI 1/21/15 - Mel Ilomin emailed stating work has begun. 2/2/15 - completed per DP",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Washington Blvd/53rd St/Santa Fe,LA 90058,vacant lot,14,1/22/15,Sign Installation Request_No Trespassing & No Illegal Dumping,CD 14 Miguel Vargas/LAPD Ofcr Mark Hyland,1/22/15,,"$1,350.73",02/02/15,,"The location is near the Santa Fe Ave and Washington Blvd. intersection.  The site is directly adjacent to the Santa Fe Ave bridge, on the east side and just south of 23rd Street. CFD rpt 1/31/15; 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Mesa St,San Pedro 90731,FS 53,15,1/6/15,"graffitti, weed, trash, sign, board-up, trim trees, fence",LABS Insp Robert Wood,1/6/15,"7,696.00","$9,484.58",02/23/15,,"1/5/15 - R. Wood said he received a CSR about citizen complaint that he will send.   1/12/15 - in progress per PI 1/13/15 - est rec'd CFD rpt - 1/31/15 2/12/15 - per DP, tree trimming scheduled for 2/13/15; then work will be completed. 2/23/15 - DP tree trimmed CFD cost rpt 04/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Avenue 35 & Pasadena City APN: 5205004900 LA Metro APN: 5205004903",LA,vacant lot ,1,2/12/15,"fence, sign, weeds, trash clean-up, Homeless clean-up","Jose Rodriguez, CD1",2/12/15,"8,652.00","$8,826.93",03/23/15,,"APN: 5205003900, 5205003901, 5205002901 (rear of Animal Services), and 5205003900 (rear of open space) CD 1 clean up will start 2/24 & 2/26.  Jose cell 213-785-4896. 2/23/15 - per Tom, permanent fence with gate. 2/25/15 - estimate received; Fencing to be installed on 2/27/15. 3/9/15 - CFD to proceed with ""de-grubbing: 3/23/15 - work completed per Peter.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970-1010,Jefferson Blvd,LA,,9,3/9/15,"Remove Trash , remove grafiti &  remove weeds/overgrown brush inside and  surrounding the buildilng on both sides of street. ","Nora Gutierrez, CD 9",3/6/15,"4,625.00",$555.00,03/31/15,,"3/11//15 - cost estimate rec'd and informed CD 9.CFD rpt 05/31/15. ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,11th Ave,LA 90018,SLA Animal Shelter,10,4/9/15,"lock doors, secure facility, signs, boardups","Maria Gordo, Dept of Animal Services",4/9/15,,"$3,503.56",04/14/15,,"4/14/15 - email from Peter. Bldg secure, no homeless person; electricity still on. 4/23/15 - DWP Thom Breckner (213) 367-3497; service should be off but needs confirmation.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Balboa Blvd,Encino 91316,FS 83,5,4/9/15,"homeless, weed, fence","Noah Mulstein, CD 5",4/9/15,,,04/27/15,,"4/15/15 - Per Peter's email, clean up will begin 4/16/15 4/27/15 - compelted",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6353,Lindley Avenue,Reseda 91355,"vacant lot  APN 2124018905",3,4/8/15,"fence installation, signs, weed abatement","Arielle Bernard, CD 3",4/14/15,"3,580.00","$5,870.37",04/30/15,,"4/20/15 - estimate rec'd. Total project cost with tree trimming $6,588.  4/27/15 - approve fence and sign installation. CFD cost rept 04/30/15; 5/31/15;6/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4225,Olive st,LA 90037,old Junipero Serra Library,9,4/24/15,Remove homeless,"_Paloma PŽrez-McEvoy, Deputy Chief of Staff and Counsel
Councilman Curren Price - CD 9",4/29/15,0.00,$116.87,05/04/15,,"5/4/15 - per DP, FYI, the individual in question is on sidewalk and steps in front of, please advise, hes not actually inside or within the front porch, he wasnt there when checked it. The gate and building is still secured. CFD cost rpt 5/31/15 - site visit only.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,,Phase 5 study,"RES, CFD, Val",4/20/15,"49,931.00",,05/06/15,,5/6/15 -1st floor  asbestos clean-up completed per PI.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA,FS 57,8,4/23/15,"fence repair, ","Berny Moto, CD 8",4/23/15,495.95,$495.95,05/07/15,,"Possible next door renter:  AA Motors, Anderson @ 323-750-8891  4/28/15 - estimate received CFD rpt 6/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Paseo Miramar,Pacific Palisades,vacant lot,11,4/16/15,install warning signs,"Eric Noreen, BOE",4/16/15,"1,881.00","$1,072.75",05/07/15,,"4/28/15 - CFD estrimate receivedCFD cost rpt 04/30/15 - partial5/7/15 - signs installed5/8/15 - 4th CPR funding request submitted to CAO;  CAO did not include in 4th CPRCFD rpt 6/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15329,De Pauw,Pacific Palisades 90272,SFR,11,1/28/15,"weed, trash, ",RES,1/28/15,,$0.00,05/11/15,,"5/11/15 - work completed.  DP sent pictures. Cost of $5,563.88 clean-up to be paid by auction proceeds.CFD cost rpt 6/30/15",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15333,De Pauw,Pacific Palisades 90273,SFR,11,1/28/15,"install sign, clean-up, weed, grafitti, boarod-up",RES,1/28/15,,$0.00,05/11/15,,"CFD cost rpt 04/30/155/11/15 - work completed.  DP sent pictures. Cost not yet final.CFD cst rpt 5/31/15; 6/30/15Cost of $6,634.40 clean-up to be paid thru auction proceeds",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
