Street #,Street Name,City & ZIP,Building Name,CD,Date of Request,Work Requested,Requested by:,To: CFD,Estimate,Cost,COMPLETED,Date Re-visited,Comments / Notes,"1 = complete 2 = pending 3 = completed;no final cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,06/04/15,Secure View Proposal - install window covering & maintenance,"Val, Melody",,"275,100.00",,,,Secure View to submit proposal by June 15. Estimate received.  Pending item.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Lincoln Heights jail,,06/29/15,ITA to replace (5) motion detectors and (2) shock sensors as a result of 6/25-6/29/ breakin. ,"Jerry Morris, ITA",,,$793.23,07/03/15,,6/29/15 - ITA to replace (5) motion detectors and (2) shock sensors as a result of 6/25-6/29/ break-in. Estimate received and PO to be created by Lisa. ITA installed.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Avenue,LA,Lincoln Heights jail,,07/07/15,12 hr shift for Security Services;,GSD-Val/Melody,,,"$15,639.95",,,"Service from July 7 thru Sept 30 8/24/15 - invoice for July $6,577.07 9/16/15 - invoice for August $9,062.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave 26 & Lacy,LA,vacant lot,1,06/02/15,"weed, fence, signs.","Jose Rodriguez, CD 1",,,"$20,041.25",07/13/15,,"multi-city agency clean-up to be conducted on 6/25-26/15 APN: 5205003900, 5205003901, 5205002901 (rear of Animal Services), and 5205003900 (rear of open space) 7/13/15 - Peter emailed pictures of completed project. CFD cost rpt 07/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA,FS 57,8,04/23/15,"fence repair, ","Berny Moto, CD 8",04/23/15,495.95,$495.95,07/14/15,,"Possible next door renter:  AA Motors, Anderson @ 323-750-8891  4/28/15 - estimate received CFD rpt 6/30/15 7/14/15 - DP emailed completed pictures.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA,FS 57,8,05/12/15,"fence repair, homeless, debris, window breach, sign, graffitti","Berny Moto, CD 8",05/26/15,,"$2,314.78",07/14/15,,"5/11/15 - Dave Perka emails that fence is broken again.   5/26/15 - Berny followed-up. CFD cost rpt 6/30/15 7/7/15 -per PI fence to be completed on 7/13/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA,FS 57,8,06/17/15,"homeless, clean-up, fence, board-up, chain-link gate, rolling gate, security bars, grafitti","Bethelwel Wilson, City Atty Neighborhood Prosecutor",06/17/15,"23,196.00","$14,049.78",07/14/15,,"7/14/15 - DP emailed completed pictures.  Notifed CA work completed. CFD cost rpt 07/31/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Manchester,LA 90045,FS 5,11,02/17/15,"trash cleanup, weeds","Nancy Aguilar, CD 11 srogers@kentwoodhomeguardians.com",02/17/15,"2,560.00",$985.59,08/19/15,,"2/25/15 - estimate received and sent to CD 11 04/30/15 CFD rpt (partial cost?)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tupper & columbus Ave,North Hills,vacant lot,7,06/22/15,"weed, trash, install fence","Cristina Coria & Yolanda Fuentes, CD 7" 06/22/15,"12,347.00",$859.22,07/09/15,,"6/24/15 - estimate received from DP $2,549.90 estimate for fence only from Quality Fence Co. 6/30/15 - partial cost from CFD rpt 7/9/15 - DP emailed pictures.  Notified CD 7 work completed.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,Vermont Ave - South,LA,Bethune Library,,03/06/15,CRA property transfer of fence rental to GSD,"Josh Rohmer, CAO",n/a,,,,,"3/6/15 Jacqueline - Thank you for working on this. FYI, United Site Services (800-864-5387, Rosemary is ext. 6287) is expecting the call from the City to transfer the service.  United has some difficulty identifying the property using the correct address (3671 or 3685 S. Vermont Ave.) so it may be easiest for them to search for the record using CRA/LA's Customer ID: USS-179096, and the most recent work order in 0-597310.  If possible, please try to contact them early next week - otherwise CRA/LA plans to have them remove the fence, at which point we'd need to have it re-installed, which would be a waste.  3/9/15 - called fencing company and transferred billing to GSD-RES; monthly invoice approximately $141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,S. Hill Street,LA,Bunker Hill - Parcel Y - Angeles Knoll,14,07/08/15,broken fence,"Todd Hessick, GSD Special Events",07 08/15,"1,452.00","$1,885.22",08/03/15,,"7/13/15 - estimate received 8/3/15 - DP completed CFD rpt 073115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APN 2784002902.",,Northridge Metrolink Station,,07/22/15,"install ""No Trespassing"" sign","Alin Sahagian, Deputy City Atty (818) 374-6837",,,,07/23/15,,"Joe checked Assessor's Book 2784 Page 2 Parcel 902 and I came up with a quitclaim deed which recorded on June 23, 1978 as instrument No. 78-684301 of Official Records. According to the Certificate of Acceptance, this property belongs to the Department of Recreation and Parks. The adjacent parcel (2784-2-903) belongs to the Los Angeles County Flood Control Distric",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14123,Nordhoff,,old FS# 7,6,07/27/15,"homeless encampment, secure facility","Curt Klafta/Emily Gutierrez, LAFD Gene Paleno, citizen",07/28/15,"5,820.00",$637.75,,,"7/27/15 - Emily Gutierrez email - On this date/time LAPD was contacted to respond to old FS-7; this information came to Fire Facilities via BC C. Combs (LAPD Inc#2522).  Chief Combs reported that it was apparent that there was a homeless encampment on the property; additionally, there appears to be water running from the apparatus floor to the street.  As discussed last week, the property needs to be secured as quickly as possibly; even more so now that there is unauthorized use of City utilities.
CFD rpt 7/31/15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Arlington,,Washington Irving Library,10,07/23/15,create one time purchase order for Intuitive Real Estate Solutions (Secure View),"Tony Royster/Val Melloff, GSD",07/29/15,"$6,435.00",,,,"7/23/15 - Secure View proposal $6,435 7/30/15 - sent email to Connie Espina, GSD Procurement 8/5/15 - Requisition in SMS ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
